Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Exchange,Open,Close,VIX Close,Previous day's close change,Short Interest Ratio,Previous short interest % change,Previous volume delta,Open/close % change,Total Volume/Shares Outstanding
AA,20201123,444113.0,2717.0,7392416,B/Q/N,NYSE,19.3,19.81,23.7,0.052604,0.06007684091371481,-0.01649584076284385,0.5563633086944063,0.02642487046632114,0.03975922368804715
AAL,20201123,14173126.0,75821.0,100763995,B/Q/N,NASDAQ,12.75,13.56,23.7,0.082203,0.14065665022511264,-0.03962962069333256,0.7170160759225,0.06352941176470592,0.18416768909402972
AAPL,20201123,20238049.0,486304.0,127959318,B/Q/N,NASDAQ,117.18,113.85,23.7,-0.029743,0.15816002551685998,-0.07741470398225198,0.7384764286895409,-0.02841781874039949,0.007526220926464148
ABBV,20201123,938314.0,2681.0,7546710,B/Q/N,NYSE,101.94,102.18,23.7,0.013288,0.12433418005992015,-0.01712561662946495,-0.2207665486086581,0.0023543260741613605,0.004274608591882328
AG,20201123,1635380.0,55297.0,7002148,B/Q/N,NYSE,10.18,9.69,23.7,-0.056475,0.23355404655828468,0.05110894750076542,0.6696324549468672,-0.04813359528487232,0.031649887932520285
AGG,20201123,1980372.0,0.0,4739119,B/Q/N,Pacific,118.28,118.26,23.7,-0.000254,0.4178776688241,0.0845331126640359,-0.34337887168471115,-0.0001690902942170783,0.006812994537090282
AGNC,20201123,1227433.0,12532.0,8236752,B/Q/N,NASDAQ,15.38,15.44,23.7,0.015122,0.14901905508384858,-0.05368511426584113,0.8701886093297453,0.0039011703511052484,0.015107441713145306
AIG,20201123,357797.0,10814.0,4761410,B/Q/N,NYSE,39.38,39.77,23.7,0.030044,0.07514517758395098,-0.048205445489076876,-0.1456077685038675,0.009903504316912152,0.005526718253548999
AMAT,20201123,1422625.0,2015.0,8809829,B/Q/N,NASDAQ,76.9718,80.5,23.7,0.049202,0.16148156791692553,0.031528461735312346,0.15770357613822802,0.04583756648538813,0.00964633227218115
AMD,20201123,9204079.0,25307.0,46504964,B/Q/N,NASDAQ,85.52,85.31,23.7,0.007916,0.19791605472482465,0.03293163540201419,0.3283934179619096,-0.0024555659494854276,0.03866676145026211
AMZN,20201123,565626.0,3923.0,4708887,B/Q/N,NASDAQ,3116.6985,3098.3899,23.7,-0.00032599999999999996,0.12011883062812932,-0.05699435232475604,0.3931049560698409,-0.005874357112181317,0.00938490462911375
APA,20201123,2460257.0,15069.0,13446879,B/Q/N,NASDAQ,11.67,12.86,23.7,0.124126,0.1829611912176796,0.0006738011147061351,0.688520481358865,0.10197086546700938,0.03562293038700711
ATVI,20201123,332526.0,2057.0,6953471,B/Q/N,NASDAQ,76.92,75.92,23.7,-0.011587,0.04782158435693483,-0.03971941683189724,0.032926325834466384,-0.013000520020800831,0.008997096921600075
AUY,20201123,3669568.0,3383.0,15541409,B/Q/N,NYSE,5.23,5.07,23.7,-0.046992000000000006,0.2361155285212557,0.024859794834897253,0.4102682905604346,-0.030592734225621438,0.016314367413693378
BA,20201123,6674960.0,22708.0,28372397,B/Q/N,NYSE,203.24,211.53,23.7,0.059663,0.23526246301995563,0.016116510564117226,0.556282191942222,0.04078921472151147,0.05025846771856033
BABA,20201123,3202450.0,14729.0,25317123,B/Q/N,NYSE,274.75,270.11,23.7,-0.002327,0.12649344082264008,-0.05609422706838593,-0.25926584669507835,-0.0168880800727934,0.0011696472375484573
BAC,20201123,5152097.0,26573.0,45421204,B/Q/N,NYSE,27.11,27.39,23.7,0.021634,0.11342933577894589,0.031447415134216686,0.12046129614349023,0.010328292143120662,0.005250526900625403
BBBY,20201123,1596758.0,8560.0,9505812,B/Q/N,NASDAQ,20.37,20.79,23.7,0.027174,0.16797702289925365,0.033830951285306665,1.003250868826621,0.020618556701030837,0.07543803154618034
BE,20201123,1704133.0,73596.0,13056859,B/Q/N,NYSE,19.13,22.08,23.7,0.182646,0.13051630564441263,0.004470852912497686,2.1959563140339418,0.15420805018295866,0.09440465171454458
BLNK,20201123,25146434.0,71092.0,78606975,B/Q/N,NASDAQ,26.41,33.62,23.7,0.483017,0.31990079760733703,0.010271632877687231,0.77886040518256,0.2730026505111699,2.4343196914002467
BMY,20201123,894684.0,42974.0,9595949,B/Q/N,NYSE,61.74,61.92,23.7,0.005032,0.09323559347803953,0.018325552449403773,0.15541803754887765,0.002915451895043727,0.004246462021847837
BND,20201123,1687531.0,0.0,3507392,B/Q/N,NASDAQ,88.3557,88.31,23.7,-0.0007920000000000001,0.4811355559914603,0.12938483093301711,-0.46964250611649927,-0.0005172275246531522,0.004745342675825041
BNDX,20201123,631723.0,658.0,2856243,B/Q/N,NASDAQ,58.48,58.48,23.7,-0.000684,0.2211727083444931,-0.09960457667841693,0.3139884621754412,0.0,0.00478854573498807
BP,20201123,1728384.0,4750.0,13965300,B/Q/N,NYSE,20.19,20.41,23.7,0.047203999999999996,0.12376275482803807,0.0566650557719824,0.5896278131197878,0.01089648340762748,0.0006890452513743878
BSX,20201123,833736.0,3945.0,18823425,B/Q/N,NYSE,33.7,33.33,23.7,-0.010979000000000001,0.04429247068479833,0.01226981410454555,0.22210185216024333,-0.010979228486647018,0.01314557085634122
BTG,20201123,1766168.0,12165.0,7489988,B/Q/N,AMEX,5.66,5.41,23.7,-0.047535,0.23580384908493845,-0.009385771339655735,-0.1757154146856934,-0.044169611307420496,0.007129301128301376
