Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Exchange,Open,Close,VIX Close,Previous day's close change,Short Interest Ratio,Previous short interest % change,Previous volume delta,Open/close % change,Total Volume/Shares Outstanding
A,20201103,102338.0,0.0,1175149.0,B/Q/N,NYSE,106.43,107.03,35.55,1.0703,0.08708512707750252,-0.27309093562976305,-0.2526902918017483,0.005637508221366103,0.003840356209150327
AA,20201103,356143.0,4009.0,4717116.0,B/Q/N,NYSE,13.9401,13.83,35.55,0.1383,0.07550015729950249,-0.2576612598041434,-0.045270511505452166,-0.007898078206038637,0.025370443195629984
AAL,20201103,6196531.0,46461.0,43775216.0,B/Q/N,NASDAQ,11.34,11.25,35.55,0.1125,0.14155340775474415,-0.26019167964873346,0.06523200395225283,-0.007936507936507924,0.0723558712454327
AAPL,20201103,20376778.0,85595.0,107624448.0,B/Q/N,NASDAQ,109.66,110.44,35.55,1.1044,0.18933224168545792,-0.21828478737643536,-0.12405661023478748,0.007112894400875444,0.006330178883391302
ABB,20201103,87490.0,3705.0,1336548.0,Q/N,NYSE,25.3,25.45,35.55,0.2545,0.06545967671942945,-0.29353628632521156,0.012982997048698744,0.0059288537549406556,0.0006164467726640673
ABBV,20201103,1359458.0,8215.0,8518756.0,B/Q/N,NYSE,89.14,87.96,35.55,0.8795999999999999,0.15958409889894723,-0.2620423273833844,-0.2098622111970156,-0.013237603769351658,0.0048251950306490024
ABC,20201103,239655.0,18.0,1215800.0,B/Q/N,NYSE,100.14,102.15,35.55,1.0215,0.19711712452706037,-0.08327620246228928,-0.19975725487382584,0.02007189934092276,0.005952516553178399
ABR,20201103,146915.0,11349.0,1625604.0,B/Q/N,NYSE,12.9,12.61,35.55,0.1261,0.09037563883947136,-0.2765060069736952,-0.41068678601776637,-0.022480620155038832,0.01317397647810765
ABT,20201103,521914.0,353.0,3870091.0,B/Q/N,NYSE,108.74,109.56,35.55,1.0956000000000001,0.13485832762072003,-0.4223868946210304,-0.34483657019343966,0.007540923303292325,0.002183578701709626
ACC,20201103,125289.0,100.0,1293795.0,B/Q/N,NYSE,38.53,38.75,35.55,0.3875,0.09683837083927516,-0.07679598675713417,-0.2090359040886607,0.005709836491045908,0.009400387588385909
ACGL,20201103,173293.0,0.0,2120925.0,Q/N,NASDAQ,31.95,31.91,35.55,0.3191,0.08170633096408407,-0.32562479425516244,-0.1204473974938707,-0.0012519561815336198,0.0052236113513458
ACI,20201103,405809.0,4602.0,2843800.0,Q/N,NYSE,14.72,15.22,35.55,0.1522,0.14269955693086714,-0.3369082395486458,-0.1548029087048643,0.033967391304347824,0.006016678436581405
ACM,20201103,84168.0,0.0,1883871.0,B/Q/N,NYSE,47.47,47.4,35.55,0.474,0.04467821841304421,-0.310801487360359,-0.03512261030522739,-0.001474615546661055,0.012495513594507584
ACN,20201103,166406.0,1807.0,1544039.0,B/Q/N,NYSE,222.0,225.71,35.55,2.2571,0.10777318448562503,-0.32842502755019987,-0.2602176265946962,0.01671171171171175,0.002437061228093628
ACWI,20201103,162326.0,550.0,3304051.0,B/Q/N,NASDAQ,79.95,80.45,35.55,0.8045,0.049129386925322885,-0.7507469658934679,-0.46125691517601497,0.006253908692933083,0.02014665243902439
