Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Exchange,Open,Close,VIX Close,Previous day's close change,Short Interest Ratio,Previous short interest % change,Previous volume delta,Open/close % change,Total Volume/Shares Outstanding
A,20201203,82067.0,954.0,1511353,B/Q/N,NYSE,114.15,113.58,21.17,-0.008641,0.05430035206864313,-0.01871485888153572,-0.12929912564257523,-0.0049934296977661614,0.004939062091503268
AA,20201203,652011.0,1263.0,5909508,B/Q/N,NYSE,22.74,22.04,21.17,-0.014752000000000001,0.1103325352973547,0.012556338666607048,0.007357561248518243,-0.030782761653474027,0.03178358069382244
AAL,20201203,37395128.0,256214.0,169287160,B/Q/N,NASDAQ,15.19,16.09,21.17,0.082773,0.22089760381118095,0.017441845647176074,1.2265031551995271,0.05924950625411458,0.2798140379813309
AAN,20201203,133631.0,1353.0,1555631,B/Q/N,NYSE,18.39,18.75,21.17,0.027397,0.08590147663552604,-0.05210851661997644,-0.26113032079110104,0.01957585644371938,0.04605386679282183
AAPL,20201203,11791719.0,53187.0,78967630,B/Q/N,NASDAQ,123.52,122.94,21.17,-0.001137,0.14932345063413957,-0.021372953057843702,-0.11276507809547628,-0.004695595854922266,0.004644662371670956
ABB,20201203,212401.0,96.0,1915858,B/Q/N,NYSE,26.79,26.91,21.17,0.013559000000000002,0.11086468830153383,0.03282598432114994,0.0789414552034344,0.00447928331466969,0.0008836379097366009
ABBV,20201203,699014.0,5939.0,4693555,B/Q/N,NYSE,105.0,104.74,21.17,-0.002381,0.14893060803591307,0.05221903740967927,-0.14540911545645197,-0.002476190476190525,0.0026585241157368257
ABT,20201203,235086.0,16419.0,3846363,B/Q/N,NYSE,108.15,107.53,21.17,-0.005733,0.06111903634680346,0.0041416332816275395,0.11654095396894881,-0.005732778548312571,0.002170190914333524
ACB,20201203,17102387.0,202834.0,52456025,B/Q/N,NYSE,11.05,11.24,21.17,0.026484,0.32603284370098573,0.020969141140384506,-0.2637471152763657,0.01719457013574656,0.2856210049777397
ACGL,20201203,213308.0,1032.0,2129263,B/Q/N,NASDAQ,33.02,32.59,21.17,-0.015705,0.10017926390492861,0.049664815371948674,0.27564484299344705,-0.013022410660205926,0.00524414695324003
ACI,20201203,557295.0,2186.0,2301094,Q/N,NYSE,15.49,15.27,21.17,-0.016108,0.24218697715086823,0.054200217854882826,-0.020696047706028453,-0.01420271142672696,0.004868465662264171
ACN,20201203,137133.0,0.0,1552320,B/Q/N,NYSE,250.0,249.93,21.17,0.001081,0.0883406771799629,-0.010191394811999432,-0.07109616182094641,-0.0002799999999999727,0.002450131690711375
ACWI,20201203,470369.0,0.0,1967174,B/Q/N,NASDAQ,88.91,88.9,21.17,0.00169,0.23910899595053614,0.19514366314145576,-0.2890876841992662,-0.0001124732875940941,0.01218819083023544
ACWX,20201203,161677.0,1857.0,1260345,Q/N,NASDAQ,52.1,52.06,21.17,0.005213,0.1282799550916614,-0.007911039936268127,0.20882024584126205,-0.0007677543186180259,0.01790262784090909
ADBE,20201203,245878.0,321.0,3062675,B/Q/N,NASDAQ,482.21,484.28,21.17,0.006274999999999999,0.08028210632861796,-0.0032927935328016383,0.45351624048446193,0.004292735530163193,0.006384310624622499
ADI,20201203,162306.0,3.0,1734072,B/Q/N,NASDAQ,140.58,139.75,21.17,-0.00647,0.09359818969454556,-0.013034994741050548,-0.20927093612232353,-0.005904111537914443,0.004693214809842607
ADM,20201203,132818.0,393.0,2128579,B/Q/N,NYSE,49.52,49.81,21.17,0.0064659999999999995,0.06239749616998007,-0.00449376434429595,-0.2172266986947643,0.005856219709208383,0.0038257025436171013
ADNT,20201203,92071.0,0.0,1463611,B/Q/N,NYSE,32.76,34.59,21.17,0.056829,0.06290674229696279,-0.005052880902842449,0.09639942318856864,0.05586080586080603,0.015587979193761396
ADP,20201203,98248.0,381.0,1423130,B/Q/N,NASDAQ,171.25,172.09,21.17,0.0029720000000000002,0.06903656025802281,-0.05144837822614694,-0.3982539542266578,0.004905109489051115,0.0033187582572368397
ADSK,20201203,127518.0,19.0,1841708,B/Q/N,NASDAQ,276.0,277.29,21.17,0.00083,0.06923898902540468,-0.031664992869718286,0.291197989842648,0.004673913043478335,0.008398918560363297
ADT,20201203,608411.0,650.0,5354040,B/Q/N,NYSE,8.0,7.76,21.17,-0.023899,0.11363587122994973,-0.04598463380687823,-0.16958295352971914,-0.030000000000000027,0.007034589956913406
AEL,20201203,29584.0,0.0,4668981,Q/N,NYSE,27.43,27.39,21.17,-0.001458,0.006336286226052323,-0.0389367913707247,2.271312664214398,-0.0014582573824279675,0.05074039933454494
AEM,20201203,167476.0,35326.0,1148119,B/Q/N,NYSE,69.4,69.04,21.17,-0.000579,0.14586989676157264,0.023874580295818057,0.07330432221967739,-0.005187319884726216,0.004724940403503398
AEO,20201203,1281043.0,1898.0,5139738,B/Q/N,NYSE,18.44,18.89,21.17,0.029428,0.24924286023917952,-0.011308478285993795,0.08233857697651627,0.0244034707158351,0.030941031616826622
AEP,20201203,252212.0,56870.0,2590324,B/Q/N,NASDAQ,85.59,84.74,21.17,-0.013159,0.09736697030950568,0.010650093651448853,0.3936011044117829,-0.009931066713401198,0.005218329200309046
AER,20201203,172862.0,103.0,2713189,B/Q/N,NYSE,38.25,40.28,21.17,0.061676,0.06371174289738017,0.013596934739337124,0.29144374590650846,0.05307189542483663,0.020909832164006933
AES,20201203,608488.0,1333.0,5008778,B/Q/N,NYSE,21.11,21.16,21.17,0.0,0.12148432212407896,-0.12886517476116233,-0.26129241064877445,0.002368545712932293,0.007530511862301178
AFL,20201203,209766.0,100.0,2917818,B/Q/N,NYSE,45.27,45.69,21.17,0.008387,0.07189139281476775,0.0005215222909734502,-0.2080912179491703,0.009277667329357071,0.0041538013400603205
AFMD,20201203,49792.0,0.0,1515692,Q/N,NASDAQ,5.2,5.23,21.17,0.0038390000000000004,0.03285100139078388,-0.05688150681923948,0.05568328637745561,0.005769230769230817,0.01987795367760543
AG,20201203,908256.0,2991.0,4354703,B/Q/N,NYSE,11.34,11.02,21.17,-0.019573,0.20856898851655326,0.039428182034505654,0.07273015264599363,-0.028218694885361578,0.01968336886472692
AGG,20201203,1350659.0,73.0,5198437,B/Q/N,Pacific,117.92,117.91,21.17,0.001699,0.25982021134429445,-0.015429785347412295,-0.15071832439930788,-8.480325644509088e-05,0.007385192498934508
AGI,20201203,315369.0,1.0,2953238,B/Q/N,NYSE,8.74,8.7,21.17,0.0034599999999999995,0.10678753287069989,-0.009216314044400278,0.28749499735372,-0.004576659038901708,0.007520385847973073
AGNC,20201203,888099.0,8235.0,4348990,B/Q/N,NASDAQ,15.36,15.41,21.17,0.005875,0.20420810349069554,0.022874347468378436,-0.2085518813724095,0.00325520833333338,0.007976701609572779
