Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Open,Close,Previous day's close change,Short Interest Ratio,Previous short delta,Previous volume delta,Open/Close change,Total Volume/Shares Outstanding
AA,20201028,485908.0,2046.0,4349777,B/Q/N,12.5,12.36,-0.05142,0.1117087151824105,-0.018590739625225852,0.140017884783624,-0.011200000000000045,0.023395375366335902
AAL,20201028,12608739.0,233410.0,64399820,B/Q/N,10.89,10.95,-0.024933,0.19578841990552148,-0.022760835295419057,-0.021329692669614295,0.005509641873278119,0.12661383521855735
AAPL,20201028,24476477.0,86490.0,143937823,B/Q/N,115.05,111.2,-0.046312,0.17004895926486258,-0.03103326974939033,0.5598489184255383,-0.033463711429813074,0.008302186090830542
ABBV,20201028,2167337.0,10469.0,11480182,B/Q/N,81.35,80.49,-0.026841,0.18878942859965112,0.08102754185396291,0.7120293056593453,-0.010571604179471413,0.006504966985419086
ABEO,20201028,598225.0,6904.0,2960878,B/Q/N,1.14,1.09,-0.076271,0.20204311018555982,0.20204311018555982,0.0,-0.04385964912280686,0.03492518159925965
ABEV,20201028,3124840.0,5955.0,23898310,B/Q/N,2.37,2.33,-0.045082000000000004,0.13075568941904261,-0.028027726251411783,-0.23859742914472834,-0.016877637130801704,0.001518788105253331
ABT,20201028,1776268.0,3339.0,7104939,B/Q/N,106.81,106.42,-0.019893,0.25000467984313446,0.12466695110225537,0.5725679380635315,-0.003651343507162256,0.004012888233474094
ACB,20201028,3107446.0,15721.0,11212640,B/Q/N,3.9,3.83,-0.0425,0.2771377659498566,-0.0388094890933372,-0.10748855709148301,-0.01794871794871791,0.09226329381235975
ACI,20201028,1382379.0,11999.0,6076073,B/Q/N,14.67,15.11,0.014775,0.227511914356526,-0.04746849676281273,1.9737281420637993,0.02999318336741646,0.012855256135520953
ACIC/U,20201028,6129.0,0.0,0,Q/N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOR,20201028,636503.0,11957.0,2404618,B/Q/N,0.8672,0.8833,0.01203,0.2647002559242258,0.039391650143257795,0.28176701929299186,0.018565498154981555,0.05012944728997704
ACST,20201028,709427.0,4660.0,3117903,B/Q/N,0.197,0.1928,-0.033098999999999996,0.22753337740141372,0.22753337740141372,0.0,-0.021319796954314768,0.0321867511514993
ADI,20201028,401521.0,7176.0,3387212,B/Q/N,118.9,116.47,-0.031757,0.11854026261125669,0.11854026261125669,0.0,-0.020437342304457585,0.009165532350819997
ADMP,20201028,663397.0,23681.0,3079308,B/Q/N,0.7207,0.7099,-0.062962,0.2154370397504894,-0.058595112269002936,0.5879065090435612,-0.014985430831136438,0.03287834707921495
ADP,20201028,811559.0,245.0,4716765,B/Q/N,155.2,155.08,0.061974,0.1720583917155084,0.1720583917155084,0.0,-0.000773195876288506,0.01097314893476694
ADXS,20201028,822863.0,19952.0,3036343,Q/N,0.39,0.3601,-0.086041,0.2710046262889272,-0.03823231707661845,-0.33080267498822535,-0.07666666666666676,0.04584718187873483
AERI,20201028,162804.0,2070.0,2135941,B/Q/N,10.04,10.29,0.036254,0.07622120648463604,0.07622120648463604,0.0,0.024900398406374504,0.04591996505170546
AES,20201028,598611.0,735.0,6373732,Q/N,20.0,19.5,-0.041298,0.09391844526880014,-0.013013764241728704,0.7138419665859365,-0.025,0.0095826695519603
AFL,20201028,729048.0,5006.0,6813520,B/Q/N,35.84,34.15,-0.034219,0.10700019960314198,-0.07964055823023182,0.7700236011113435,-0.04715401785714299,0.00955730354845936
AG,20201028,2802058.0,53483.0,10069244,B/Q/N,10.3,9.96,-0.08623900000000001,0.2782788856839699,0.17233921669464797,2.4235458357785022,-0.03300970873786406,0.04695873101919779
AGG,20201028,1406782.0,0.0,7329242,B/Q/N,117.81,117.73,-0.001442,0.19194099471677972,-0.113706532497865,0.28716764853352206,-0.0006790595025888998,0.010626710163839351
AGI,20201028,608454.0,5119.0,5978703,B/Q/N,8.65,8.12,-0.083521,0.10177023344360808,0.10177023344360808,0.0,-0.061271676300578164,0.015273965281341678
AGNC,20201028,1731023.0,2976.0,8360266,B/Q/N,14.14,14.03,-0.015439000000000001,0.2070535793956795,0.02089784585414184,0.1348075951504536,-0.007779349363507864,0.015049519579625569
AGQ,20201028,283508.0,5747.0,2433842,B/Q/N,41.81,41.63,-0.08766199999999999,0.11648578666980026,0.11648578666980026,0.0,-0.004305190145898104,0.1622937205590148
AIG,20201028,1216208.0,0.0,8129382,B/Q/N,30.42,30.23,-0.029845999999999998,0.1496064522493838,0.026608352591369094,-0.326241618508895,-0.006245890861275518,0.009437035157311547
AIKI,20201028,1344296.0,2738.0,3712769,B/Q/N,0.56,0.58,0.073875,0.3620736975556519,0.3620736975556519,0.0,0.035714285714285546,0.10632146951884809
AIV,20201028,198204.0,3995.0,4454892,B/Q/N,31.2,30.2,-0.054181,0.04449131426755127,0.04449131426755127,0.0,-0.032051282051282055,0.029925527562055545
AJAX/U,20201028,3499993.0,0.0,0,Q/N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKAM,20201028,1458410.0,5596.0,6219027,B/Q/N,101.175,97.4,-0.087246,0.2345077453434436,0.2345077453434436,0.0,-0.03731158883123293,0.03822274861228639
AKBA,20201028,1875402.0,40682.0,10135018,B/Q/N,2.36,2.34,-0.033058000000000004,0.18504180258979314,-0.010457882778883376,-0.5663864391418137,-0.00847457627118645,0.07071728558415796
AM,20201028,1318842.0,10370.0,5377514,B/Q/N,5.92,6.07,-0.045597000000000006,0.24525124434822484,0.05860936660157445,-0.16105501951448808,0.025337837837837898,0.011283145604310466
AMAT,20201028,1022594.0,9362.0,8976958,B/Q/N,57.78,57.32,-0.025667,0.1139131986581646,0.1139131986581646,0.0,-0.007961232260297695,0.009829330360602316
AMC,20201028,2249676.0,96460.0,8141103,B/Q/N,2.69,2.61,-0.064516,0.2763355284904269,-0.041578744112956756,-0.2764280189194659,-0.02973977695167289,0.14146239053332663
AMCR,20201028,638566.0,500.0,6842620,B/Q/N,10.34,10.32,-0.023652000000000003,0.09332185624804534,0.09332185624804534,0.0,-0.001934235976789127,0.004362576107599009
AMD,20201028,17845189.0,60080.0,76529910,B/Q/N,78.73,76.4,-0.03144,0.2331792759197025,0.019478694235306432,-0.5115200282704685,-0.02959481773148734,0.06518416798150023
AMLP,20201028,475545.0,19512.0,3533415,B/Q/N,21.09,20.69,-0.038121999999999996,0.13458509685389347,0.009045850293039809,-0.15733014016535185,-0.018966334755808372,0.023210660383642327
AMRN,20201028,531344.0,1164.0,3274619,B/Q/N,4.76,4.69,-0.028986,0.1622613195611459,0.1622613195611459,0.0,-0.01470588235294105,0.008492361492445578
AMWL,20201028,736947.0,1000.0,2402481,B/Q/N,29.85,29.02,-0.054722999999999994,0.3067441532315968,0.3067441532315968,0.0,-0.02780569514237862,0.012123674753281393
AMZN,20201028,841376.0,5919.0,5588330,B/Q/N,3249.3,3162.78,-0.037595,0.15055946946583326,-0.0013477457196447995,0.30232318592641844,-0.026627273566614342,0.011156808668023368
ANGL,20201028,926060.0,1175.0,2676288,Q/N,29.89,29.78,-0.011288,0.34602404524475694,0.23107710129420772,0.47917358688076633,-0.0036801605888256753,0.024197902350813743
APA,20201028,2238261.0,1657.0,13792210,B/Q/N,7.96,7.79,-0.066507,0.16228443447424307,-0.05283604992214419,0.7179487914067996,-0.021356783919597982,0.03653965747178414
APHA,20201028,1560150.0,12550.0,5200801,B/Q/N,4.54,4.425,-0.054486999999999994,0.29998263728990976,0.0874902215880679,0.42206130491763294,-0.025330396475770973,0.017974631629768086
APPS,20201028,127931.0,340.0,2574067,B/Q/N,30.2,30.03,-0.046364,0.049699949535113114,0.049699949535113114,0.0,-0.005629139072847621,0.029389797146487106
APTX,20201028,903443.0,24331.0,4015375,B/Q/N,3.15,3.35,0.127946,0.2249959219251004,0.2249959219251004,0.0,0.06349206349206354,0.06598859080827144
AR,20201028,998083.0,3867.0,8804226,B/Q/N,3.57,3.48,-0.04918,0.11336408220325103,-0.14995526687904667,0.11126277054779911,-0.025210084033613408,0.032784437970855056
ARCC,20201028,821110.0,5806.0,4137880,B/Q/N,14.06,13.9,-0.022160000000000003,0.1984373640608234,0.07147186123804092,0.41588402416995757,-0.011379800853485073,0.009790968844202875
ARKK,20201028,564126.0,419.0,2518866,B/Q/N,96.31,94.75,-0.039339,0.22396030594720004,0.22396030594720004,0.0,-0.016197694943411924,0.023966374881065653
ARMK,20201028,641049.0,795.0,3029837,B/Q/N,28.07,27.18,-0.05493699999999999,0.21157870868960937,0.02489368836897307,0.3219155281074867,-0.031706448165301056,0.011976794680388463
ARPO,20201028,291950.0,1934.0,1664573,B/Q/N,1.26,1.3,0.0,0.17539032532667537,-0.14048159555179618,-0.40317049751418593,0.03174603174603177,0.03956862322253273
ARRY,20201028,310778.0,100.0,1858854,B/Q/N,36.6699,37.46,-0.014211,0.16718795558984192,0.16718795558984192,0.0,0.021546281827875248,0.014637283370778666
ASTC,20201028,9359732.0,119432.0,27040304,B/Q/N,2.15,2.43,0.16826899999999997,0.3461400433959618,0.3461400433959618,0.0,0.130232558139535,1.725625557758795
ATUS,20201028,289485.0,0.0,5614134,B/Q/N,26.45,26.1,-0.029379,0.051563607138696725,0.051563607138696725,0.0,-0.013232514177693682,0.014325314352066123
ATVI,20201028,481573.0,1547.0,5910440,B/Q/N,80.18,79.01,-0.024086,0.08147836709280527,0.04287438575499488,0.0805845838203372,-0.01459216762284861,0.007657279388134037
AUVI,20201028,3812303.0,37293.0,18441782,B/Q/N,10.37,8.14,0.27786500000000003,0.20672096655301533,0.20672096655301533,0.0,-0.21504339440694298,2.8184958603139263
AUY,20201028,4800095.0,7653.0,19983149,B/Q/N,5.61,5.32,-0.082759,0.24020713652287734,0.13175487867774455,1.1807294274381144,-0.05169340463458111,0.020998113830091293
AVGR,20201028,892011.0,18424.0,3495411,Q/N,0.2685,0.2506,-0.057895,0.25519488266186724,-0.0958141772821906,0.10762925812775943,-0.06666666666666676,0.04116021464806579
AVTR,20201028,398489.0,604.0,4868511,B/Q/N,24.01,23.37,-0.043781,0.08185028235532384,-0.12458607389232544,0.40316457064298716,-0.026655560183256998,0.008443097280902546
AXP,20201028,704917.0,1315.0,7037765,B/Q/N,91.96,91.6,-0.035078,0.10016205428854189,-0.030485456196092386,0.8616977938752912,-0.003914745541539794,0.008740372513081504
AXTA,20201028,176162.0,6079.0,3531525,Q/N,24.77,24.84,-0.022816999999999997,0.049882699400400674,0.049882699400400674,0.0,0.002825999192571671,0.01499733610721147
AYTU,20201028,686885.0,1000.0,1937611,Q/N,0.97,0.9573,-0.031955,0.35450098084703274,0.35450098084703274,0.0,-0.013092783505154571,0.015397740751977173
AZN,20201028,471305.0,6821.0,5263180,B/Q/N,51.89,50.98,-0.028582,0.08954757390018962,-0.04975540073769412,0.42158471428691047,-0.017537097706687294,0.004010664430163586
BA,20201028,4322840.0,5741.0,20279768,B/Q/N,153.0,148.14,-0.045736,0.2131602294464118,0.031811684171291904,0.3090592584597954,-0.03176470588235303,0.03592844953796318
BABA,20201028,2380197.0,18114.0,13644451,B/Q/N,313.5,307.94,-0.029009,0.1744443217246337,-0.027503329550006977,0.03556357189316531,-0.017735247208931427,0.0006303715639417356
BAC,20201028,9152854.0,56992.0,81942517,B/Q/N,23.41,23.47,-0.015933,0.11169847272326282,0.010178947566693825,0.48961233638899904,0.002563007261853854,0.00945770918036575
BAM,20201028,409837.0,801.0,3488010,B/Q/N,31.16,30.29,-0.048979999999999996,0.11749880304242247,0.11749880304242247,0.0,-0.02792041078305523,0.0023077328766283075
BB,20201028,478971.0,0.0,4031206,B/Q/N,4.77,4.57,-0.057732,0.11881580847021958,0.11881580847021958,0.0,-0.04192872117400405,0.0072133234452210135
BBBY,20201028,3345238.0,33769.0,19826877,B/Q/N,21.0,21.1,-0.12119999999999999,0.16872238628403252,0.04824037032792007,3.033864776494184,0.00476190476190483,0.1573459029684405
BBD,20201028,3247089.0,1185.0,23400767,B/Q/N,3.74,3.6,-0.076923,0.13875993893704425,0.05962495398388766,-0.15682018053761906,-0.037433155080213935,0.005276258654096495
BBI,20201028,892062.0,28091.0,3347530,B/Q/N,0.51,0.5117,-0.028295,0.2664836461510427,-0.09390779642789038,-0.44143728952928313,0.0033333333333334016,0.06476708899396165
BCRX,20201028,791125.0,0.0,4276886,B/Q/N,3.65,3.63,-0.021563,0.18497687336066473,0.01957713280030124,-0.2450716089052505,-0.005479452054794526,0.0242226428426707
BCS,20201028,602886.0,546.0,4338670,Q/N,5.36,5.33,-0.029144,0.13895640830023948,-0.050878556459456936,0.11770202152261709,-0.00559701492537318,0.00025002359004183217
BE,20201028,912242.0,27932.0,6945827,B/Q/N,14.98,14.6,-0.053178,0.13133670043898302,-0.016463623182812137,0.2020433168638106,-0.025367156208277754,0.06732926674208004
BEN,20201028,1308061.0,8116.0,7277265,B/Q/N,19.26,18.64,-0.055246,0.17974623708220053,-0.04969952221759638,-0.346856598195462,-0.032191069574247194,0.014690961610941567
BEST,20201028,883190.0,17375.0,2970737,B/Q/N,2.74,2.52,-0.083636,0.297296596770431,0.04720490524517307,-0.13526537564999103,-0.08029197080291978,0.011989226982152369
BG,20201028,396185.0,862.0,4133379,B/Q/N,58.0,58.06,0.042557,0.09585015068785127,0.09585015068785127,0.0,0.001034482758620729,0.029599633596867656
BGCP,20201028,572445.0,1754.0,3310280,B/Q/N,2.52,2.67,0.063745,0.1729294802856556,0.021723498525134555,-0.21562847724425016,0.059523809523809486,0.010550663365771892
BGFV,20201028,1584254.0,122344.0,7414925,B/Q/N,7.2,7.52,-0.073892,0.21365745439097497,0.21365745439097497,0.0,0.04444444444444436,0.3385623751895329
BHC,20201028,626237.0,638.0,5071424,B/Q/N,17.26,16.76,-0.055242000000000006,0.12348346342171351,0.018645251165468793,0.2979526004101607,-0.028968713789107762,0.014285976665015179
BIL,20201028,753208.0,0.0,2147580,Q/N,91.53,91.52,0.0,0.3507240708145913,0.3507240708145913,0.0,-0.00010925379656948667,0.014433194484341938
BILI,20201028,298314.0,2703.0,4176635,B/Q/N,45.2,44.37,-0.031646,0.07142448406432451,0.07142448406432451,0.0,-0.0183628318584072,0.015937046059039374
