Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Open,Close,Previous day's close change,Short Interest Ratio,Previous short delta,Previous volume delta,Open/Close change,Total Volume/Shares Outstanding
AA,20201021,960860.0,4580.0,7320878,B/Q/N,12.83,13.32,0.040625,0.1312492845803468,0.03206339948629716,2778276.0,0.03819173811379581,0.03937551024366317
AAL,20201021,7203502.0,7891.0,37503569,B/Q/N,12.69,12.745,-0.0042970000000000005,0.1920751062385556,0.02890582273966849,-9245193.0,0.004334121355397929,0.07374438081475886
AAPL,20201021,17608039.0,52030.0,89945980,B/Q/N,116.67,116.87,-0.0054459999999999995,0.19576237870775326,-0.042353103573889994,-34477748.0,0.0017142367360932788,0.005187991929557822
ABBV,20201021,1195251.0,7596.0,9776877,B/Q/N,83.58,82.89,-0.016142,0.12225284208853195,-0.00960041941048935,2843700.0,-0.008255563531945415,0.005539830475292395
ABEV,20201021,3582398.0,15750.0,19722456,B/Q/N,2.39,2.41,-0.004132,0.1816405624127137,0.06141078965742562,-2448841.0,0.00836820083682009,0.0012534037586416024
ABT,20201021,607721.0,3143.0,5716007,B/Q/N,108.01,105.93,-0.022425,0.10631914901433816,0.10631914901433816,5716007.0,-0.019257476159614834,0.0032284157869273133
ACB,20201021,3941614.0,204911.0,14066778,B/Q/N,4.61,4.85,0.063596,0.2802073083118252,-0.021643395429519763,250196.0,0.05206073752711482,0.11574859012750237
ACI,20201021,969352.0,30660.0,4048843,B/Q/N,15.28,14.98,-0.015769,0.2394145685569927,-0.11320784976840939,-12435903.0,-0.019633507853403072,0.00845222730180166
ACOR,20201021,1382251.0,75069.0,7648217,B/Q/N,0.8734,0.9381,-0.024843999999999998,0.1807285279693293,-0.07958785587935607,-102724421.0,0.07407831463247092,0.1594435752222625
ADAP,20201021,345547.0,12222.0,2942625,B/Q/N,5.3,4.53,-0.159555,0.1174281466377809,-0.04033150983496228,887708.0,-0.14528301886792444,0.0031710404810105764
ADI,20201021,631132.0,1344.0,3992787,B/Q/N,124.08,124.76,0.009222000000000001,0.15806803618625287,0.15806803618625287,3992787.0,0.005480335267569365,0.010804171223541225
ADMA,20201021,706374.0,222.0,2341169,B/Q/N,2.21,2.165,-0.015909,0.3017185004585316,0.3017185004585316,2341169.0,-0.020361990950226214,0.02711255952679364
ADMP,20201021,938820.0,17195.0,2465549,B/Q/N,0.8078,0.8595,0.064133,0.3807752350490702,0.03843792113500888,-2056488.0,0.06400099034414469,0.026325127516575585
ADXS,20201021,4999466.0,7939.0,15194073,Q/N,0.46,0.5106,0.109277,0.32904054100569347,0.03843459149142103,12842755.0,0.11000000000000007,0.2294225086921254
AEO,20201021,1027370.0,1875.0,11587397,B/Q/N,14.1,13.8,-0.018491999999999998,0.08866270828556232,-0.02506551266925644,4692811.0,-0.021276595744680778,0.06975569901300843
AES,20201021,501417.0,1705.0,5450742,B/Q/N,19.97,20.21,0.0105,0.09199059504192274,0.09199059504192274,5450742.0,0.012018027040560942,0.008194988336345362
AG,20201021,1097016.0,13583.0,4914923,B/Q/N,11.03,11.12,0.026777000000000002,0.22320105523524988,0.05908056437698714,44678.0,0.008159564823209417,0.02292113957483488
AGG,20201021,1006287.0,20.0,3688494,B/Q/N,117.59,117.51,-0.0011899999999999999,0.27281784923602964,0.08268375582409723,-325126.0,-0.0006803299600306003,0.00535029590948651
AGNC,20201021,1745617.0,26040.0,8095171,B/Q/N,14.03,13.87,-0.011404000000000001,0.21563682842524265,0.04096346937504597,3627804.0,-0.011404133998574494,0.014572315577628402
AHT,20201021,1121878.0,9295.0,2515938,B/Q/N,1.46,1.63,0.124138,0.445908444484721,0.15454552099411623,641959.0,0.11643835616438351,0.19266065794623424
AIG,20201021,1356538.0,362.0,6869516,B/Q/N,30.58,31.67,0.033279,0.19747213631935642,0.1207619557332767,1387975.0,0.035644211903204825,0.007974513192480584
AIHS,20201021,2453530.0,160237.0,9521372,B/Q/N,1.105,1.1,-0.026549,0.257686602308995,0.006504657163304506,-46622731.0,-0.0045248868778279576,0.2195948238256864
AIV,20201021,110950.0,0.0,3019541,B/Q/N,33.5,33.99,0.008007,0.03674399519662094,0.03674399519662094,3019541.0,0.01462686567164185,0.020283624702968503
AKBA,20201021,925487.0,21456.0,4474912,B/Q/N,3.6,3.295,-0.079609,0.20681680444218792,-0.0024740186452941737,-4404861.0,-0.08472222222222227,0.03122378567733925
ALLY,20201021,343645.0,304.0,5602068,B/Q/N,28.69,27.86,-0.020049,0.061342525653026704,-0.04846250975637704,669480.0,-0.028929940745904558,0.014985317549643136
AM,20201021,620004.0,264.0,3005129,B/Q/N,6.66,6.33,-0.026154,0.20631526966063687,-0.08486571237639554,-1159439.0,-0.04954954954954956,0.006305387222931619
AMAT,20201021,446907.0,212.0,6188889,B/Q/N,62.4,62.11,-0.002409,0.07221118362277947,-0.04708505535542369,1709016.0,-0.0046474358974358835,0.00677653104159535
AMC,20201021,1561112.0,234988.0,7277305,B/Q/N,3.1,3.0,-0.029126,0.21451787440542894,-0.13496833799799454,-8701477.0,-0.03225806451612906,0.12645276222891794
AMD,20201021,6387466.0,30252.0,36426409,B/Q/N,81.72,79.2,-0.028936000000000003,0.17535261299020719,-0.04442414183453308,-1793006.0,-0.030837004405286295,0.031026106828282322
AMRN,20201021,433308.0,476.0,4730310,B/Q/N,4.87,4.72,-0.032787000000000004,0.09160245311618055,-0.09589972334798395,-1185248.0,-0.03080082135523621,0.012267534785368997
AMTX,20201021,1173198.0,16654.0,3652734,B/Q/N,4.38,4.95,0.10986499999999999,0.3211835299258035,0.017901601210265794,1897120.0,0.13013698630136994,0.1737093921754413
AMZN,20201021,635210.0,2556.0,4592736,B/Q/N,3212.5,3184.9399,-0.009969,0.13830753607435742,-0.010346536345003793,83058.0,-0.008579019455252964,0.009169157300077658
APA,20201021,1995564.0,100.0,11784127,B/Q/N,9.41,9.1,-0.053070000000000006,0.16934338878051808,0.0406934254676764,-1420766.0,-0.032943676939426195,0.031219649656146712
APHA,20201021,1781551.0,3688.0,7999521,B/Q/N,4.68,4.68,0.006452,0.22270720959417445,-0.01275884721296669,-385798.0,0.0,0.027647364932746714
APO,20201021,1155333.0,1502.0,6425595,B/Q/N,39.93,41.26,0.026113,0.17980171486064714,0.17980171486064714,6425595.0,0.03330828950663657,0.028045052813219173
APPS,20201021,392585.0,16043.0,3216870,B/Q/N,36.89,34.21,-0.052486,0.12203943584913285,-0.0004456411811663563,869482.0,-0.07264841420439143,0.03672909708512637
APTO,20201021,150621.0,730.0,2733767,B/Q/N,5.66,5.88,0.040708,0.05509650237200171,0.05509650237200171,2733767.0,0.03886925795052999,0.031248865860400838
APTX,20201021,704415.0,27119.0,2799076,B/Q/N,4.0,3.9,-0.091967,0.2516598334593273,0.024568221345598884,-44780396.0,-0.025000000000000022,0.059602348358196854
AR,20201021,2038317.0,6210.0,10605244,B/Q/N,3.94,3.77,-0.007895,0.19219897250831758,0.033902489760756216,4194672.0,-0.043147208121827395,0.03949091766655953
ARKK,20201021,392278.0,3880.0,2869832,B/Q/N,100.15,97.95,-0.028563,0.13669023134455258,-0.13671329505155141,671894.0,-0.021967049425861234,0.0278084496124031
ARMK,20201021,287879.0,0.0,2388875,Q/N,28.59,29.01,0.007992,0.12050818900109884,0.12050818900109884,2388875.0,0.014690451206715695,0.00944310383433597
ARRY,20201021,907019.0,500.0,8694243,B/Q/N,38.12,39.34,0.021818,0.104324091240606,-0.023910109359566847,5841065.0,0.032004197271773505,0.06846158896040723
ASHR,20201021,337240.0,0.0,4506040,B/Q/N,36.63,36.53,0.0008219999999999999,0.07484176793814525,0.07484176793814525,4506040.0,-0.0027300027300027688,0.08252820361669956
ASTC,20201021,34593880.0,446470.0,126368141,B/Q/N,4.88,2.68,0.5857990000000001,0.27375475912081354,0.27375475912081354,126368141.0,-0.4508196721311475,16.10997074869695
ATVI,20201021,458467.0,992.0,5305066,B/Q/N,80.985,81.94,0.022461000000000002,0.08642060249580306,0.08642060249580306,5305066.0,0.011792307217385915,0.0068729861963729745
AUY,20201021,2064941.0,200.0,11841709,B/Q/N,5.88,5.86,0.008606,0.17437863065204523,-0.011269085829662379,685547.0,-0.0034013605442176145,0.012443161662099229
AVGR,20201021,503915.0,3674.0,1792104,Q/N,0.2999,0.2989,0.01048,0.2811862481195288,-0.03270566910272682,-273572.0,-0.003334444814938316,0.021103170391888214
AVTR,20201021,549657.0,100.0,4545288,B/Q/N,25.44,24.71,-0.010016,0.12092897083749149,-0.029121604788420824,-1073031.0,-0.028694968553459134,0.007882555621979486
AYRO,20201021,463461.0,7724.0,1368267,B/Q/N,2.85,2.92,0.024561000000000003,0.3387211706487111,0.3387211706487111,1368267.0,0.024561403508771874,0.05634619760857066
AYTU,20201021,563922.0,7106.0,1778471,Q/N,1.0,1.01,0.0,0.3170824826494219,-0.004203221067154095,-546357.0,0.010000000000000009,0.014133092448850464
AZN,20201021,1720947.0,11745.0,8219837,B/Q/N,52.14,51.57,-0.01188,0.20936510054883084,0.08317529715023475,3300747.0,-0.010932105868814735,0.0062637051891902915
BA,20201021,2128720.0,7228.0,11450646,B/Q/N,166.44,163.86,-0.02021,0.18590392192719957,-0.05255225311289813,-869274.0,-0.015501081470800192,0.02028642324646317
BABA,20201021,1926482.0,6431.0,11139660,B/Q/N,311.75,307.97,-0.005939,0.17293903045514855,-0.006709027860672345,2333542.0,-0.012125100240577297,0.000514650600158203
BAC,20201021,3707181.0,11244.0,41564912,B/Q/N,24.22,24.05,-0.0037280000000000004,0.08919015635110691,-0.006705264936129357,-20911512.0,-0.00701899256812544,0.004797373380701676
BBBY,20201021,499373.0,4598.0,4629312,B/Q/N,25.1258,24.44,-0.022008999999999997,0.10787196888004093,-0.07081734701635949,-4059372.0,-0.027294653304571412,0.03673817499158527
BBD,20201021,4164283.0,24300.0,40556045,B/Q/N,3.77,3.86,0.005208000000000001,0.1026797114955366,-0.017357346946115848,13614815.0,0.023872679045092802,0.00914432349192558
BBEU,20201021,100112.0,0.0,15148397,B/Q/N,23.24,23.09,-0.011134999999999999,0.006608752067958082,0.003823054445235151,1045287.0,-0.0064543889845094056,0.06955186868686869
BBJP,20201021,1426900.0,0.0,1739413,Q/N,24.78,24.84,0.009346,0.8203342161982232,0.8203342161982232,1739413.0,0.002421307506053217,0.007949785191956124
BCRX,20201021,833990.0,12764.0,4416627,B/Q/N,3.53,3.59,0.022792,0.18882962043206275,-0.10160232312247969,499217.0,0.016997167138810214,0.0250140822996676
BE,20201021,1395028.0,12897.0,6595075,B/Q/N,18.18,16.4,-0.09741300000000001,0.21152572184546803,-0.021568681108628363,3065874.0,-0.09790979097909798,0.06392925764765282
BGI,20201021,702807.0,1340.0,4148939,Q/N,0.74,0.8748,0.22178799999999999,0.16939439215664534,0.16939439215664534,4148939.0,0.18216216216216222,0.4046596132552014
