Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Open,Close,Previous day's close change,Short Interest Ratio,Previous short interest % change,Previous volume delta,Previous close % change,Total Volume/Shares Outstanding
AA,20201105,486746.0,4413.0,5732695,B/Q/N,13.31,14.05,0.06520100000000001,0.08490701144923984,-0.04187053062512672,-0.06295716572695868,0.05559729526671677,0.03083261315926342
AAL,20201105,8148008.0,27754.0,54890789,B/Q/N,11.12,11.6,0.054066,0.14844035125820473,-0.010879865977081321,0.21854229760584187,0.043165467625899324,0.10791852078876307
AAPL,20201105,22627853.0,92845.0,126387074,B/Q/N,117.95,119.03,0.035494,0.179036133077976,0.03928414349244552,-0.08182310114492823,0.00915642221280202,0.0074337457876523915
ABBV,20201105,974623.0,6918.0,8012967,B/Q/N,95.36,93.69,-0.008571,0.12163072679570501,0.0016924386671068326,-0.6899483415360191,-0.017512583892617468,0.004540353610269647
ABT,20201105,822529.0,982.0,5139894,B/Q/N,113.51,113.53,0.017932,0.16002839747278835,0.0036810329294243993,-0.3071949023589691,0.00017619592987398484,0.0029030256493270522
AEO,20201105,550316.0,103.0,4516816,B/Q/N,14.28,14.67,0.031646,0.1218371525428532,0.0009851360104410206,0.048142493780388845,0.02731092436974794,0.02719106434284945
AG,20201105,3955975.0,12740.0,13383527,B/Q/N,10.93,11.64,0.11281100000000001,0.2955853864231753,-0.036525775427611706,0.792282227468794,0.06495882891125351,0.062415156935433404
AGG,20201105,706613.0,5700.0,5293955,B/Q/N,118.09,118.06,0.0009329999999999999,0.13347544510673023,0.031952599598582,-0.0027861570321880158,-0.00025404352612415224,0.007616105596317077
AGNC,20201105,906920.0,0.0,5088180,B/Q/N,14.17,14.24,0.012442,0.17824054966608885,0.09806387539282825,-0.6060690167751526,0.004940014114326061,0.009332685253118122
AIG,20201105,364288.0,2722.0,6467355,B/Q/N,31.83,33.43,0.058246,0.056327200223275205,-0.019145218184223288,0.19273014905818772,0.050267043669494235,0.007507662514790746
AMAT,20201105,1887284.0,9817.0,13118074,B/Q/N,66.0,69.95,0.07847699999999999,0.1438689856453013,0.04435968371011305,0.3386739161603808,0.059848484848484894,0.01436365002942287
AMD,20201105,8824613.0,32401.0,46542267,B/Q/N,83.27,83.0,0.020283000000000002,0.1896042794821318,-0.024127611532352017,-0.29923903836791055,-0.0032424642728473164,0.03869777719736341
AMZN,20201105,779262.0,4932.0,5789285,B/Q/N,3319.97,3322.0,0.024942000000000002,0.13460418687281764,0.010240831569202344,-0.1493107316904725,0.0006114513082950148,0.011538159143712472
APA,20201105,3203401.0,1797.0,15996460,B/Q/N,9.19,8.97,-0.002225,0.20025686933233977,0.014668119201702856,-0.16785312853204223,-0.023939064200217505,0.042379369887863956
APPS,20201105,1387248.0,19227.0,6578347,B/Q/N,39.06,41.86,0.12225199999999999,0.21088094015107442,-0.08511364148902142,0.3709173700114619,0.07168458781362,0.07416642457871482
APVO,20201105,6284767.0,427246.0,23226797,B/Q/N,14.81,21.21,0.249117,0.2705825947503653,0.03464168842601403,-0.18402187249417926,0.43214044564483456,7.184706127268188
