Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Open,Close,Previous day's close change,Short Interest Ratio,Previous short delta,Previous volume delta,Open/Close change,Total Volume/Shares Outstanding
AA,20201026,535431.0,4575.0,3640636,B/Q/N,13.26,13.0,-0.034892,0.14707073159744616,0.0130965026210271,-1665168.0,-0.019607843137254888,0.019581244232105617
AAL,20201026,18416542.0,176734.0,85349599,B/Q/N,12.39,11.8,-0.06349199999999999,0.2157777214629913,0.02600384393698421,-5279650.0,-0.0476190476190476,0.16780233335676942
AAPL,20201026,20668226.0,107352.0,111850657,B/Q/N,114.01,115.05,8.7e-05,0.18478412692739032,-0.06427948448911608,29415596.0,0.00912200684150506,0.006451431246085039
ABBV,20201026,1033261.0,8368.0,7986251,B/Q/N,84.09,83.92,-0.00498,0.12937998066927775,-0.12759765667410516,3748606.0,-0.002021643477226801,0.00452521563615195
ABEV,20201026,9671108.0,5390.0,36584303,B/Q/N,2.51,2.56,0.01992,0.2643512984243543,0.17857485162449627,11217491.0,0.01992031872509971,0.0023250097699537647
ABT,20201026,1052844.0,2557.0,7297958,B/Q/N,107.57,109.0,0.011226,0.14426556031152823,0.0008502143111431271,3725014.0,0.013293669238635371,0.004121905872321794
ACB,20201026,1717619.0,3458.0,6355921,B/Q/N,4.66,4.4,-0.059829,0.2702391990082948,-0.08394941208174972,-764339.0,-0.05579399141630897,0.052299744455466986
ACI,20201026,580410.0,3263.0,2975935,B/Q/N,14.75,14.8,-0.002023,0.19503450176163123,-0.4483820425359703,1006483.0,0.0033898305084746243,0.0062962388153765675
ACOR,20201026,1151848.0,9835.0,3407824,B/Q/N,0.8256,0.8998,0.077476,0.3380010235270366,-0.1065779445558766,-60381.0,0.08987403100775199,0.07104343957398586
ACST,20201026,511315.0,2500.0,2547362,Q/N,0.2,0.2008,-0.029952,0.2007233365340301,0.2007233365340301,2547362.0,0.003999999999999976,0.026296939573420195
ACWI,20201026,1216767.0,10003.0,4995996,B/Q/N,81.51,81.05,-0.016861,0.24354843358561537,-0.5167475860695675,3586495.0,-0.005643479327689951,0.031740762388818296
ADMP,20201026,1501509.0,21668.0,3852534,B/Q/N,0.81,0.7982,0.00605,0.389745814053815,-0.022130364138465974,2239894.0,-0.014567901234567941,0.041134225607336546
ADP,20201026,558492.0,1327.0,2823398,B/Q/N,147.4,145.77,-0.022989000000000002,0.1978084563352386,0.1978084563352386,2823398.0,-0.011058344640434162,0.006568393116070677
ADXS,20201026,2582181.0,132980.0,13403750,Q/N,0.474,0.4316,-0.152562,0.19264616245453697,-0.050384281910649115,9029870.0,-0.08945147679324894,0.20238957328177085
AEO,20201026,529611.0,200.0,4891585,B/Q/N,14.4,14.09,-0.040191,0.10826981438531683,-0.12382147771130247,1914416.0,-0.021527777777777812,0.02944715978545888
AEP,20201026,613299.0,13225.0,3753494,B/Q/N,91.46,93.59,0.018611,0.16339416021445619,0.16339416021445619,3753494.0,0.023288869451126282,0.007561639720835782
AES,20201026,705491.0,1951.0,5676074,Q/N,20.39,20.58,-0.0033900000000000002,0.12429207230208768,0.12429207230208768,5676074.0,0.009318293281019996,0.008533766636952026
AESE,20201026,590403.0,2890.0,1524430,B/Q/N,1.12,1.07,-0.06140399999999999,0.3872942673655071,0.3872942673655071,1524430.0,-0.04464285714285718,0.0476935578390488
AG,20201026,638968.0,749.0,3276372,B/Q/N,10.81,10.61,-0.033698,0.1950230315727274,-0.08839921543393961,86199.0,-0.018501387604070402,0.015279624911942853
AGEN,20201026,880722.0,35452.0,3564150,B/Q/N,3.93,3.65,-0.073604,0.24710576154202263,0.24710576154202263,3564150.0,-0.07124681933842245,0.01942923274228922
AGG,20201026,1880773.0,100.0,4962531,B/Q/N,117.65,117.63,0.001362,0.37899471056200956,0.09103662102531668,1083786.0,-0.0001699957501063343,0.0071983333333333335
AGNC,20201026,1341808.0,7653.0,6125191,B/Q/N,14.1,14.09,-0.007047,0.21906386266158884,0.011425749929123152,1808156.0,-0.0007092198581560132,0.011026106332435632
AIG,20201026,475651.0,0.0,6021603,B/Q/N,31.87,31.26,-0.034589,0.07899076043372504,-0.060194995261900905,1646184.0,-0.019140257295261982,0.0069902089992046985
AIHS,20201026,829921.0,14578.0,2264619,B/Q/N,1.12,1.12,-0.034483,0.3664726826013559,-0.5150042283696867,-602392.0,0.0,0.05222972176040408
AKBA,20201026,4054572.0,157905.0,10662597,B/Q/N,3.1,2.84,-0.10691800000000001,0.38026120653345524,0.31804862028503056,-10943015.0,-0.08387096774193556,0.07439847833696851
ALRN,20201026,1366795.0,70251.0,5511933,B/Q/N,1.64,1.405,-0.26052600000000004,0.2479701767057038,0.2479701767057038,5511933.0,-0.1432926829268292,0.13823082506122217
AM,20201026,712746.0,3599.0,3808948,B/Q/N,6.64,6.48,-0.021147999999999997,0.18712410880904648,-0.09133679477347775,232252.0,-0.024096385542168565,0.00799196708427856
AMAT,20201026,394411.0,65089.0,6715421,B/Q/N,60.325,59.51,-0.023626,0.05873213310081379,-0.16112816803044916,195540.0,-0.013510153336096226,0.007353057853175471
AMC,20201026,3119820.0,38469.0,10458790,B/Q/N,2.92,2.75,-0.074074,0.29829645685590783,-0.13472309681707711,3833334.0,-0.05821917808219176,0.1817352557124079
AMD,20201026,17972143.0,24013.0,69423675,B/Q/N,82.55,82.23,0.003294,0.2588762839189945,0.11045150799996659,22940701.0,-0.003876438522107731,0.05913144929992833
AMRN,20201026,636054.0,500.0,4098902,B/Q/N,5.0,4.86,-0.024096000000000003,0.15517667902282123,-0.015155423621379088,1263905.0,-0.027999999999999935,0.01063004810822516
AMWL,20201026,738821.0,1487.0,2353062,B/Q/N,32.26,30.04,-0.076261,0.3139828019831182,0.02853445201678445,787700.0,-0.0688158710477371,0.011874290936038963
AMZN,20201026,966760.0,8324.0,5901151,B/Q/N,3198.74,3209.23,0.001507,0.1638256672300031,0.009341445118126318,2441309.0,0.0032794162701564483,0.0117813394391732
ANGI,20201026,762442.0,3.0,2778007,B/Q/N,10.93,10.84,-0.022543,0.2744564718519428,0.10559616792352453,383430.0,-0.008234217749313802,0.03746493672420096
APA,20201026,3240457.0,66774.0,13881294,B/Q/N,9.07,8.56,-0.077586,0.23344055676653777,-0.06670006500162914,5188472.0,-0.0562293274531422,0.036775667425679594
APHA,20201026,1208756.0,572.0,4966737,B/Q/N,4.54,4.57,0.004396,0.24337024489116296,-0.016830669076529553,990010.0,0.006607929515418557,0.0171656765903828
APPS,20201026,417478.0,11331.0,3432440,B/Q/N,33.54,31.71,-0.06322,0.12162718066448358,0.01761224164196455,173860.0,-0.054561717352414975,0.03919039998472775
APTO,20201026,331377.0,11633.0,2671785,B/Q/N,5.1,4.75,-0.06862700000000001,0.12402831814685687,0.12402831814685687,2671785.0,-0.0686274509803921,0.03054036831698936
AR,20201026,2013257.0,6822.0,8767377,B/Q/N,3.96,3.72,-0.06766899999999999,0.2296304812716506,0.047595275852194086,1184624.0,-0.060606060606060545,0.03264722275684442
ARKK,20201026,351081.0,1046.0,2342242,B/Q/N,98.16,97.2,-0.019964,0.1498910018691493,-0.04933613309442342,469470.0,-0.009779951100244435,0.02269614341085271
ARLP,20201026,442063.0,3936.0,1826788,B/Q/N,3.24,3.36,0.076923,0.24198921823440925,0.24198921823440925,1826788.0,0.03703703703703693,0.014362080700533249
ARTL,20201026,1077240.0,36170.0,2917373,B/Q/N,0.5704,0.59,0.035088,0.36925000676978914,0.13238232248516923,120056.0,0.03436185133239823,0.19305536870482234
ATUS,20201026,191579.0,0.0,10409160,B/Q/N,27.4,27.1,-0.019537,0.01840484726913603,0.01840484726913603,10409160.0,-0.010948905109488948,0.02656055041453457
