Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Open,Close,Previous day's close change,Short Interest Ratio,Previous short delta,Previous volume delta,Open/Close change,Total Volume/Shares Outstanding
AA,20201022,710841.0,0.0,5305804.0,B/Q/N,13.8,13.47,-0.013909,0.13397422897641903,0.001516307283082774,-60738.0,-0.023913043478260874,0.028537388514447176
AAL,20201022,17199064.0,66473.0,90629249.0,B/Q/N,13.07,12.6,-0.041825,0.18977387752600708,0.00010235817291215366,-48909.0,-0.035960214231063554,0.1782069821464619
AAPL,20201022,20531574.0,122806.0,82435061.0,B/Q/N,116.39,115.04,-0.006134,0.24906361141650638,0.04741326769777829,-19382638.0,-0.011598934616375928,0.004754769820514566
ABBV,20201022,1088980.0,1779.0,4237645.0,B/Q/N,84.64,84.34,0.000356,0.2569776373433829,0.12221787855911898,-3843254.0,-0.0035444234404536524,0.0024011588684679616
ABEV,20201022,2175875.0,2384.0,25366812.0,B/Q/N,2.45,2.51,0.024489999999999998,0.08577644679985802,-0.02755327428832191,6167303.0,0.024489795918367186,0.0016121145107665547
ABT,20201022,512415.0,2481.0,3572944.0,B/Q/N,109.64,107.79,-0.015437000000000001,0.1434153460003851,0.03997845095426983,-1380946.0,-0.016873403867201698,0.002018008168185802
ACAM,20201022,234930.0,389.0,2215770.0,Q/N,10.19,10.18,0.000983,0.10602634749996614,0.08225531677034637,-7667268.0,-0.0009813542688910488,0.07251191711106098
ACB,20201022,2521915.0,42184.0,7120260.0,B/Q/N,4.88,4.68,-0.035052,0.35418861109004446,0.09159561885241757,-2483633.0,-0.04098360655737709,0.05858911375023122
ACGL,20201022,63185.0,0.0,884681.0,Q/N,32.07,31.81,0.004104,0.07142122414746106,0.05096001883237275,-2203358.0,-0.008107265357031542,0.0021791660258183147
ACI,20201022,1267178.0,12367.0,1969452.0,B/Q/N,14.72,14.83,0.008844,0.6434165442976015,0.3324609355028429,-2105657.0,0.007472826086956483,0.004166804761334173
ACOR,20201022,1541891.0,123983.0,3468205.0,B/Q/N,0.92,0.8351,-0.042865,0.4445789680829132,0.18385430180279566,-2445662.0,-0.09228260869565226,0.072302211718591
ACWI,20201022,1071638.0,1173.0,1409501.0,B/Q/N,82.43,82.44,0.004264,0.7602960196551829,0.44785782867696766,-2020419.0,0.00012131505519823976,0.008954898348157561
ADAP,20201022,413663.0,22520.0,3781585.0,B/Q/N,4.37,4.8,0.11627900000000001,0.10938878803464684,-0.021694145101373755,625850.0,0.09839816933638437,0.004075123101782381
ADIL,20201022,2407463.0,25693.0,827780.0,B/Q/N,1.9,1.8,-0.067358,2.9083367561429365,2.692265879857284,-10314226.0,-0.052631578947368356,0.061041414702516936
ADMA,20201022,707624.0,39741.0,1520295.0,B/Q/N,2.28,2.25,-0.017467,0.465451770873416,0.20345390869753754,-1180582.0,-0.013157894736842021,0.017606199589088503
ADMP,20201022,664208.0,1112.0,1612640.0,B/Q/N,0.8189,0.7934,-0.023628,0.411876178192281,0.04133315678003929,-179886.0,-0.031139333251923272,0.017218458703651986
ADXS,20201022,1062986.0,20076.0,4373880.0,Q/N,0.4846,0.5093,0.036216,0.24303044436518606,-0.08851052721548364,1167682.0,0.05096987205943046,0.06604328689998484
AEMD,20201022,1036408.0,6616.0,274271.0,B/Q/N,1.65,1.65,-0.023669,3.778773548789336,3.3977497408673814,-2445790.0,0.0,0.02272262386154287
AEO,20201022,690975.0,450.0,2977169.0,B/Q/N,14.62,14.68,0.014513,0.2320912920966193,0.1409975742310579,-4608151.0,0.0041039671682626885,0.017922446661218158
AG,20201022,904166.0,10800.0,3190173.0,B/Q/N,10.87,10.98,0.004575,0.283422247006667,0.06331473546409888,-917665.0,0.010119595216191464,0.014877628927425661
AGG,20201022,1116916.0,12.0,3878745.0,B/Q/N,117.3,117.47,0.001449,0.28795808953669294,0.055316256389466245,-922266.0,0.0014492753623188551,0.005626261966927763
AGNC,20201022,896381.0,1475.0,4317035.0,B/Q/N,14.07,14.19,0.014659,0.20763811273246569,0.0455839879662234,-1214333.0,0.008528784648187578,0.007771200432908338
AHT,20201022,3610135.0,66623.0,1860966.0,B/Q/N,1.79,1.76,0.02924,1.9399252861148457,1.5348408246746952,-7051089.0,-0.016759776536312863,0.1425054727006674
AIG,20201022,608996.0,0.0,4375419.0,B/Q/N,32.4,32.38,0.011559,0.13918575569562594,0.0266386482307283,-1035613.0,-0.0006172839506171612,0.005079227785207896
AIHS,20201022,2527204.0,145788.0,2867011.0,B/Q/N,1.2,1.16,-0.041322,0.8814769109710426,0.5521188401993096,-4806109.0,-0.03333333333333337,0.06612290491867191
AKBA,20201022,1344141.0,26922.0,21605612.0,B/Q/N,3.3442,3.18,-0.030488,0.06221258624842471,-0.06742477872802455,11237143.0,-0.049099934214460766,0.1507535787331123
ALGN,20201022,889145.0,1564.0,1959053.0,B/Q/N,451.34,469.56,0.03603,0.45386469891319936,0.28003883893808235,-3156095.0,0.04036867993087258,0.024865280849556772
ALK,20201022,462632.0,1031.0,1974231.0,B/Q/N,40.63,41.57,0.024144000000000002,0.2343352930837374,0.06116839210020544,-697365.0,0.023135614078267232,0.015967610087792978
ALLY,20201022,447335.0,1.0,3584844.0,B/Q/N,28.91,29.08,0.007972,0.1247850673557901,0.038990273290338384,-1629167.0,0.005880318228986446,0.009589320534119346
AM,20201022,995970.0,4737.0,3576696.0,B/Q/N,6.58,6.62,0.009146,0.27846090358252423,0.052156958231574374,-824332.0,0.0060790273556231055,0.007504653962845067
AMAT,20201022,1433463.0,3028.0,6519881.0,B/Q/N,61.7,60.95,-0.012156,0.21986030113126298,-0.018511082256641415,506311.0,-0.012155591572123176,0.007138951108027262
AMC,20201022,2868952.0,63271.0,6625456.0,B/Q/N,3.13,2.97,-0.048076999999999995,0.43301955367298495,0.20009585033035615,-5691676.0,-0.051118210862619716,0.11512602704245015
AMD,20201022,6899225.0,19841.0,46482974.0,B/Q/N,80.93,81.96,0.031982,0.1484247759190279,-0.03346390466781618,8551944.0,0.012727048066229913,0.039591762037819035
AMLP,20201022,430373.0,19994.0,2558383.0,B/Q/N,22.81,22.66,-0.002202,0.168220708158239,0.06617242993972863,-1658964.0,-0.006576063130205988,0.003101400743182213
AMRN,20201022,482891.0,2644.0,2834997.0,B/Q/N,5.02,4.98,-0.007968,0.17033210264420032,0.04600492116226684,-1049037.0,-0.007968127490039672,0.007352250553117397
AMWL,20201022,446830.0,1501.0,1565362.0,B/Q/N,31.98,32.52,0.003085,0.28544834996633367,0.06910632786587503,-500025.0,0.01688555347091941,0.00789930898897684
AMZN,20201022,534491.0,1783.0,3459842.0,B/Q/N,3191.0,3204.3999,0.008815,0.1544842221118768,0.02739231230799158,-745705.0,0.00419927922281413,0.006907393660644827
ANGI,20201022,404349.0,4.0,2394577.0,B/Q/N,11.08,11.06,0.014679,0.16886030392841825,0.06735108008490075,-1588795.0,-0.0018050541516245102,0.03229389839054652
APA,20201022,2609069.0,5510.0,8692822.0,B/Q/N,9.54,9.28,-0.016949000000000002,0.30014062176816686,0.20155179526347533,-17771323.0,-0.027253668763102704,0.023029865289405364
APHA,20201022,1034748.0,13716.0,3976727.0,B/Q/N,4.7,4.55,-0.027778,0.2602009139676925,0.024726188265841054,-417579.0,-0.03191489361702135,0.013744075752399054
APPS,20201022,338941.0,1142.0,3258580.0,B/Q/N,33.0,33.85,0.030128,0.10401493902251902,0.019353323462652214,-744899.0,0.025757575757575802,0.03720532728386633
APTX,20201022,965041.0,115157.0,1512532.0,B/Q/N,3.13,3.125,-0.017296,0.6380301375441975,0.5211192687843377,-6741970.0,-0.0015974440894568351,0.03220722094252539
