Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Exchange,Open,Close,VIX Close,Previous day's close change,Short Interest Ratio,Previous short interest % change,Previous volume delta,Open/close % change,Total Volume/Shares Outstanding
A,20201124,1066580.0,0.0,5560074.0,B/Q/N,NYSE,118.96,114.68,21.64,1.1468,0.1918283821402377,-0.2125809474713439,0.7062209029532266,-0.03597848016139868,0.018170176470588235
AA,20201124,697230.0,10333.0,7384066.0,B/Q/N,NYSE,20.24,20.82,21.64,0.2082,0.09442358722145766,-0.09864518167838254,-0.0011295360001385203,0.028656126482213534,0.03971431421355394
AAL,20201124,30908671.0,74967.0,156500970.0,B/Q/N,NASDAQ,14.32,14.82,21.64,0.1482,0.19749827109697787,-0.09310599402041458,0.553143759335862,0.034916201117318434,0.25867979806439617
AAP,20201124,91284.0,73.0,1109524.0,B/Q/N,NYSE,147.13,149.83,21.64,1.4983000000000002,0.08227311892306971,-0.4287740826007294,0.02000809001985732,0.01835111805885963,0.016351507450371155
AAPL,20201124,18620205.0,287931.0,113874218.0,B/Q/N,NASDAQ,113.91,115.17,21.64,1.1517,0.16351554660072395,-0.18682044311474635,-0.11007482862639202,0.011061364234922353,0.006697773447779241
AAXJ,20201124,255270.0,1120.0,2530411.0,Q/N,NASDAQ,86.68,86.99,21.64,0.8698999999999999,0.10088084504849212,-0.6628404942137931,0.806915004527265,0.003576372865712829,0.04217351666666667
ABB,20201124,1108410.0,20.0,4984415.0,B/Q/N,NYSE,26.65,26.83,21.64,0.2683,0.22237514332173383,-0.5818599430750768,0.7339912257051842,0.006754221388367719,0.0022989271918168047
ABBV,20201124,1303564.0,9918.0,9325898.0,B/Q/N,NYSE,102.88,103.96,21.64,1.0395999999999999,0.13977892531099953,-0.289715351922207,0.23575677348142435,0.010497667185069968,0.005282376521400481
ABC,20201124,135750.0,6.0,1212284.0,B/Q/N,NYSE,101.0,103.1,21.64,1.031,0.1119787112590779,-0.5418541347869751,-0.17774963729754623,0.020792079207920734,0.005935302333569108
ABR,20201124,230790.0,191.0,1389474.0,B/Q/N,NYSE,13.71,13.77,21.64,0.1377,0.16609882588663047,-0.2671037869741152,-0.3002422380580666,0.004376367614879556,0.011260367096132975
