Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Open,Close,Previous day's close change,Short Interest Ratio,Previous short interest % change,Previous volume delta,Previous close % change,Total Volume/Shares Outstanding
AA,20201106,470526.0,275.0,4255758,B/Q/N,14.3,14.44,0.027757999999999998,0.11056220771951789,0.02565519627027804,-0.2576339749454663,0.009790209790209706,0.022889084473086494
AAL,20201106,5543679.0,27015.0,36703682,B/Q/N,11.44,11.46,-0.012069000000000002,0.1510387704427038,0.0025984191844990734,-0.3313325847802989,0.0017482517482518664,0.07216159835015577
AAPL,20201106,18426323.0,70448.0,114457922,B/Q/N,118.32,118.69,-0.002856,0.1609877470953911,-0.018048385982584902,-0.09438585468004426,0.0031271129141312083,0.0067321053380106416
ABBV,20201106,735053.0,2036.0,7006928,B/Q/N,92.975,92.85,-0.008966,0.10490374669184556,-0.016726980103859437,-0.1255513719200391,-0.0013444474321054048,0.0039688651917856735
AG,20201106,1933333.0,12072.0,9809170,B/Q/N,11.78,11.79,0.012887,0.19709445345528726,-0.09849093296788802,-0.26707137812028175,0.0008488964346349565,0.045745854957093546
AGG,20201106,557689.0,18.0,5514452,B/Q/N,117.81,117.8,-0.002202,0.10113226119295263,-0.032343183913777634,0.04165071293579186,-8.488243782365772e-05,0.007933321824197957
AGNC,20201106,1347409.0,5856.0,6390620,B/Q/N,14.23,14.11,-0.009129,0.21084167107416807,0.03260112140807922,0.25597364873098044,-0.00843288826423057,0.011721606749816581
AIG,20201106,728692.0,0.0,8329979,B/Q/N,34.04,33.16,-0.008076999999999999,0.08747825174589276,0.031151051522617546,0.28800398308118236,-0.02585193889541723,0.009669899222679766
AMAT,20201106,974413.0,17877.0,8639662,B/Q/N,68.9,70.53,0.008292,0.11278369454730984,-0.03108529109799145,-0.3413924940505748,0.02365747460087076,0.009460007722208584
AMD,20201106,10147713.0,21366.0,53829936,B/Q/N,83.52,85.88,0.034699,0.1885143054972237,-0.0010899739849080936,0.1565817367684303,0.028256704980842907,0.04475714236000434
AMZN,20201106,739534.0,6558.0,4647330,B/Q/N,3304.6399,3311.3701,-0.0032,0.15913094185263366,0.024526754979816018,-0.19725320138842706,0.0020365910367419965,0.009262220314486034
APA,20201106,2250154.0,4806.0,12204499,B/Q/N,8.87,8.535,-0.048494999999999996,0.1843708619255899,-0.015886007406749836,-0.2370500098146715,-0.03776775648252526,0.03237267639257294
APPS,20201106,588312.0,6209.0,4653853,B/Q/N,41.0,42.3,0.010511,0.12641396279598863,-0.08446697735508576,-0.29254978492317296,0.03170731707317066,0.05246905301969107
APVO,20201106,1900622.0,79106.0,7549005,B/Q/N,21.05,23.7,0.11739699999999999,0.25177119368711504,-0.018811401063250244,-0.6749872571754082,0.12589073634204268,2.3351210448120847
ARKK,20201106,913695.0,11294.0,3238643,B/Q/N,101.15,102.08,0.012498,0.2821227903168086,-0.004170995466682703,-0.2387555395512323,0.009194265941670712,0.03048134588235294
ATVI,20201106,426443.0,249.0,7576545,B/Q/N,79.87,78.81,-0.016596,0.05628462577599684,0.0045150664834954085,0.15115896930063463,-0.013271566295229777,0.009803292441410117
AUY,20201106,1457390.0,4500.0,16198403,B/Q/N,6.02,5.94,-0.003356,0.08997121506360843,0.01059522521402459,-0.45359264020618184,-0.013289036544850363,0.01700403728240297
BA,20201106,1644568.0,10178.0,8995560,B/Q/N,156.33,157.74,0.004138,0.18281996896246594,-0.016581717609452457,-0.2703337299539816,0.009019382076376873,0.015934609327170085
BABA,20201106,5012911.0,9242.0,25259567,B/Q/N,291.49,299.95,0.042398,0.19845593552731922,-0.008420354768374244,-0.493652689343664,0.02902329410957487,0.0011669881590898052
BAC,20201106,4876006.0,24828.0,55454491,B/Q/N,24.93,24.31,-0.012190000000000001,0.0879280633916557,0.003059631395039092,-0.2578619941998013,-0.024869634977938267,0.006410338588910794
BAX,20201106,210540.0,0.0,3141121,B/Q/N,78.15,78.93,0.015045999999999999,0.0670270263386861,0.01712402254667112,-0.3187773598163524,0.009980806142034563,0.00614919316198944
BBBY,20201106,729741.0,13599.0,4303974,B/Q/N,21.5,21.44,-0.002791,0.1695505130839545,-0.0010043169073796487,-0.03897124644440658,-0.0027906976744185453,0.034156295788927864
BE,20201106,868681.0,24847.0,6348043,B/Q/N,15.4,14.63,-0.05,0.13684233077816266,-0.052518357770700186,-0.1746469325235532,-0.04999999999999997,0.061534656771208666
BHC,20201106,308706.0,2598.0,3231094,B/Q/N,16.66,16.64,-0.00538,0.095542252871628,-0.056361366948086425,-0.0734831775132794,-0.001200480192076805,0.009097803418276713
BK,20201106,285220.0,1.0,4336626,B/Q/N,35.75,35.07,-0.014887999999999998,0.06577002489954172,-0.00838559317228027,-0.29877371026782784,-0.019020979020979014,0.004893860536080241
BKLN,20201106,1729585.0,0.0,4258711,Q/N,21.81,21.78,0.000919,0.40612875586063485,0.19144956216893644,-0.07345927948139787,-0.0013755158184318012,0.02323355701036552
BKR,20201106,1015748.0,27437.0,7022580,B/Q/N,15.52,15.57,-0.010172,0.1446402888966733,0.05585889664096229,0.09731464500302901,0.0032216494845361283,0.010239728479876599
BLNK,20201106,536407.0,23485.0,2505788,B/Q/N,9.6095,9.95,0.026831999999999998,0.2140671916379199,-0.055123550875744026,-0.05103342341578099,0.035433685415474134,0.07892966601673854
BMY,20201106,423109.0,10615.0,9680121,B/Q/N,63.61,63.8,0.000784,0.04370906107475309,-0.028764150739905313,-0.4523602976135654,0.0029869517371482112,0.004294765628817803
BND,20201106,1401085.0,10.0,3844529,B/Q/N,88.01,88.02,-0.002267,0.36443605965776305,0.1513484528977875,-0.06881782779569322,0.00011362345188036478,0.005274259290848736
BNDX,20201106,741848.0,0.0,2727723,B/Q/N,58.41,58.42,-0.000684,0.2719660317414928,-0.018798131892685865,0.060825544535279726,0.0001712035610341571,0.004684547052625643
BP,20201106,3696697.0,16536.0,17539830,B/Q/N,15.83,15.64,-0.012003,0.2107601384962112,0.08544797584036914,0.23438746869224528,-0.012002526847757392,0.0008654118831256062
BSX,20201106,1133859.0,466.0,11142837,B/Q/N,35.31,35.7,0.013916999999999999,0.1017567608679908,0.053815197011822594,0.0009106506876724144,0.011045029736618537,0.007788519115654042
BTG,20201106,1010183.0,6266.0,5566967,B/Q/N,6.99,6.95,-0.002869,0.18146020984137323,-0.01848560598850091,-0.40221663295099813,-0.005722460658082981,0.005302035807908719
C,20201106,1795628.0,18244.0,17705227,B/Q/N,43.51,42.71,-0.008357999999999999,0.10141795979232573,0.020246495306577766,-0.29023181481369237,-0.018386577798207245,0.00850395148895293
CARR,20201106,533226.0,1636.0,3442961,B/Q/N,38.53,38.95,0.019634,0.15487424922907927,0.041365743459513674,-0.4041338659671953,0.01090059693745138,0.003972552872471004
CAT,20201106,427459.0,375.0,2982993,B/Q/N,163.94,161.29,-0.011036999999999998,0.14329869362750766,-0.01673281466395149,-0.38132561305528384,-0.01616445040868614,0.005490929624721433
CCL,20201106,4861655.0,50868.0,19585587,B/Q/N,13.91,13.82,-0.025388,0.24822615732681386,0.0212667157995102,-0.29038435305445326,-0.006470165348670011,0.027180745081677785
CDE,20201106,778803.0,95.0,5404347,B/Q/N,8.62,8.89,0.03734,0.14410677182645748,0.06371254137901597,-0.095688397309327,0.031322505800464195,0.02217312518744555
CGC,20201106,8593993.0,22839.0,34146653,B/Q/N,22.0,23.5,0.108491,0.25167892736075775,-0.03131476089827323,0.9540938645281348,0.06818181818181818,0.09197203360256515
CLF,20201106,1116734.0,1801.0,5778928,B/Q/N,8.35,8.36,0.013333,0.193242414510096,0.02300311619456255,-0.34718329635988304,0.0011976047904191363,0.014474760998592814
CMCSA,20201106,1036542.0,26253.0,14129145,B/Q/N,44.57,44.53,0.004059,0.07336197625546344,-0.017755494006112357,-0.25232147592310944,-0.0008974646623289016,0.003094507252774678
CNC,20201106,568160.0,5.0,3666028,B/Q/N,68.0,67.93,0.000737,0.15497972192247303,0.0008477532070226279,-0.4080453227783421,-0.001029411764705782,0.0063229435263592515
CNK,20201106,949120.0,920.0,6929226,B/Q/N,8.84,9.01,-0.006614999999999999,0.13697345129167385,-0.08269147037118105,-0.41311819722295134,0.01923076923076922,0.05888493634957595
COG,20201106,474849.0,4231.0,5567800,B/Q/N,16.58,16.44,-0.000608,0.08528485218578254,-0.0024148648666376116,-0.15987866087573724,-0.008443908323280883,0.0139690944410714
COMM,20201106,272535.0,200.0,3023403,Q/N,10.03,9.92,-0.010967,0.09014180378864478,-0.10569748594167677,-0.2657048512394406,-0.010967098703888279,0.015220159662910798
COP,20201106,1393742.0,57019.0,10484496,B/Q/N,30.13,29.19,-0.030876,0.13293361931751416,0.026137771019275113,0.016270709146788822,-0.03119814138732153,0.009817337102013645
CRON,20201106,11741199.0,38665.0,45759171,B/Q/N,7.08,7.51,0.16164,0.2565867943717774,0.07738501020135458,1.8805662001483368,0.06073446327683612,0.13078293622854198
CSCO,20201106,1670294.0,4289.0,19475288,B/Q/N,37.56,37.53,0.008058,0.08576479074404446,0.0017231364659477943,-0.1587239212051958,-0.0007987220447284647,0.004613882439120801
CVS,20201106,3863047.0,102002.0,24526887,B/Q/N,63.05,64.95,0.057645,0.15750253996766894,0.008033945261293723,1.4357763739030787,0.03013481363996837,0.018741363446394217
CVX,20201106,991236.0,27095.0,8366918,B/Q/N,72.5,71.15,-0.013723,0.11847086346489831,-0.01736319321233036,-0.21272727700425068,-0.018620689655172336,0.004346333637106955
CXW,20201106,498541.0,2263.0,3084819,B/Q/N,6.16,6.0,-0.029126,0.16161110262871176,-0.2207121798669992,0.2160736924765365,-0.025974025974025997,0.02578615977358273
CYH,20201106,1180430.0,8919.0,5094427,B/Q/N,8.75,9.61,0.098286,0.23171006278036765,-0.03342479704513396,0.28929586910719823,0.09828571428571423,0.042588082729854884
DAL,20201106,1831192.0,11221.0,11821147,B/Q/N,31.67,31.42,-0.017511000000000002,0.15490814893004884,0.01538899134569488,-0.10071528799232868,-0.007893905904641616,0.018536163072087917
DBX,20201106,1344511.0,9230.0,8683380,B/Q/N,19.44,19.145,-0.048459,0.15483728686294967,-0.03926773989195062,-0.2913742070846421,-0.01517489711934165,0.027521998537439203
DDD,20201106,749755.0,8925.0,4234305,B/Q/N,6.54,6.24,-0.045872,0.17706683859570815,0.03840167903459099,0.017033239027148317,-0.0458715596330275,0.034955226521289816
DIS,20201106,858399.0,7794.0,6259697,B/Q/N,126.255,127.46,0.003938,0.1371310783892575,0.011031386968454154,-0.18224788468248715,0.00954417646825867,0.0034640163268430824
