Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Open,Close,Previous day's close change,Short Interest Ratio,Previous short delta,Previous volume delta,Open/Close change
AA,20201019,728243.0,5270.0,6672158,B/Q/N,12.67,12.63,0.0007920000000000001,0.10914654599006798,-0.01876507100993202,1294132.0,-0.0031570639305445263
AAL,20201019,9267837.0,141340.0,50560700,B/Q/N,12.64,12.56,0.008026,0.18330120033939404,0.030001797339394037,17843371.0,-0.006329113924050638
AAPL,20201019,25339597.0,69403.0,120639337,B/Q/N,119.96,115.98,-0.025542,0.21004423291881985,0.01686555691881983,5245529.0,-0.03317772590863613
ABBV,20201019,1221733.0,4932.0,10287992,B/Q/N,86.59,84.31,-0.022719,0.11875329996368582,-0.016775890036314176,4925317.0,-0.02633098510220581
ABEV,20201019,1242833.0,9181.0,10447724,B/Q/N,2.39,2.37,0.008511,0.11895729634511784,-0.05111421565488214,-2960571.0,-0.00836820083682009
ABT,20201019,602444.0,2760.0,4228515,B/Q/N,109.9,108.04,-0.014863,0.14247176609282455,0.020585533092824543,-135251.0,-0.016924476797088257
ACB,20201019,7053574.0,44043.0,25062576,B/Q/N,4.07,4.71,0.17164200000000002,0.28143850815654387,0.05651581115654386,5156408.0,0.15724815724815716
ACI,20201019,914386.0,3711.0,4158688,B/Q/N,14.78,14.38,0.008415,0.2198736716964581,0.019315334696458103,1160498.0,-0.027063599458727917
ACRX,20201019,496001.0,299.0,1763372,B/Q/N,1.91,1.77,-0.06349199999999999,0.2812798433909578,-0.09019741560904221,-356249.0,-0.07329842931937168
ADAP,20201019,741668.0,17052.0,2927866,B/Q/N,6.43,5.6,-0.11252000000000001,0.2533135054678049,0.08549005946780489,-1557145.0,-0.12908242612752724
ADMA,20201019,614205.0,5291.0,2304287,B/Q/N,2.32,2.24,-0.013216,0.26654882833605364,0.0019136573360536424,153885.0,-0.034482758620689495
ADMP,20201019,1032522.0,9158.0,3539707,Q/N,0.9239,0.8714,-0.056824000000000006,0.29169702464074004,-0.010068198359259983,1778003.0,-0.056824331637623224
ADT,20201019,842376.0,2068.0,3336882,B/Q/N,7.92,7.62,-0.040302,0.2524440480664285,0.2524440480664285,3336882.0,-0.03787878787878786
ADTX,20201019,590553.0,4488.0,2282621,B/Q/N,2.2798,2.18,-0.009091,0.25871706253469146,-0.08051403046530853,-1802998.0,-0.04377576980436866
ADXS,20201019,1427804.0,99300.0,3908657,Q/N,0.4118,0.46,0.134122,0.3652927335399346,0.3652927335399346,3908657.0,0.11704711024769311
AEHL,20201019,675880.0,700.0,2254838,B/Q/N,2.42,2.56,0.07113,0.29974658933369047,0.29974658933369047,2254838.0,0.05785123966942154
AEL,20201019,1848945.0,114387.0,8459472,B/Q/N,28.68,27.49,-0.148916,0.21856505937959247,0.21856505937959247,8459472.0,-0.04149232914923296
AEO,20201019,2016679.0,2248.0,10270976,B/Q/N,15.15,14.23,-0.051333000000000004,0.1963473578362952,-0.07987861616370479,7073764.0,-0.06072607260726072
AERI,20201019,474314.0,13620.0,2272449,B/Q/N,11.0,9.92,-0.147766,0.20872371613180318,0.20872371613180318,2272449.0,-0.09818181818181819
AES,20201019,1565202.0,4190.0,8025448,Q/N,19.9,19.9,0.0,0.19502986001529135,0.19502986001529135,8025448.0,0.0
AG,20201019,778245.0,2894.0,4034600,B/Q/N,10.67,10.35,-0.015224,0.19289272790363357,-0.07967728309636643,537238.0,-0.029990627928772287
AGG,20201019,1020080.0,4552.0,4685033,B/Q/N,117.81,117.75,-0.001188,0.21773165738640474,0.05620052738640474,751754.0,-0.000509294626941705
AGNC,20201019,1130389.0,11.0,5978005,B/Q/N,14.2,14.03,-0.00567,0.1890913440186149,-0.06321625498138508,2008727.0,-0.01197183098591549
AIG,20201019,459867.0,13.0,5425918,B/Q/N,30.41,30.09,-0.006603,0.08475376885533471,-0.029521927144665283,531929.0,-0.010522854324235458
AIHS,20201019,17567618.0,244226.0,54580999,B/Q/N,0.9359,1.41,0.791614,0.32186325501297625,0.06508614101297627,48928482.0,0.5065712148733839
AKBA,20201019,1718279.0,6767.0,6812004,B/Q/N,3.83,3.7,-0.021164000000000002,0.2522428054945358,-0.0106721295054642,-650558.0,-0.03394255874673626
