Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Open,Close,Previous day's close change,Short Interest Ratio,Previous short interest % change,Previous volume delta,Open/close % change,Total Volume/Shares Outstanding
HYG,20201118,4393731.0,0.0,22098892,B/Q/N,86.04,85.79,-0.001862,0.19882132552165963,-0.008191531389614315,0.5329108530188724,-0.0029056252905625287,0.07135580238940911
HYLN,20201118,2226655.0,11632.0,7336517,B/Q/N,25.87,24.67,-0.026056,0.30350301103370986,0.05322264218882944,1.2498559439268444,-0.04638577502899108,0.047670109235673865
IAU,20201118,2974125.0,1984.0,12674323,B/Q/N,17.91,17.84,-0.005574,0.23465750399449342,-0.034578664115414104,-0.29956472876039714,-0.003908431044109452,0.007095095026170683
IBM,20201118,555171.0,17925.0,4606828,B/Q/N,117.72,116.77,-0.007901,0.1205104683743348,0.004529051920916391,0.07395256575145334,-0.008069996602106718,0.005170070377396549
IBN,20201118,1940745.0,0.0,14964232,B/Q/N,13.54,13.27,-0.011914000000000001,0.12969225550633004,-0.05336617089350337,1.9818939036917402,-0.019940915805022125,0.002169285511920885
ICLN,20201118,1468182.0,5.0,3838708,B/Q/N,21.91,21.53,-0.014644999999999998,0.38246774696069613,0.017110940180251222,-0.22946227269515618,-0.017343678685531674,0.033264367417677645
IEFA,20201118,1550798.0,461.0,7361139,B/Q/N,66.18,65.7,-0.005750999999999999,0.21067364710814454,0.041431309096061825,0.1921950194041826,-0.007252946509519551,0.006180637279596978
IEMG,20201118,1246554.0,2644.0,8584272,B/Q/N,58.8,58.39,-0.002562,0.14521371177427742,0.052724814638135886,-0.2920334013731676,-0.006972789115646201,0.008274794679005205
IJR,20201118,1112709.0,1065.0,3790277,B/Q/N,85.04,83.48,-0.013937999999999999,0.2935693090504995,-0.04463216814435317,0.0689151726919183,-0.018344308560677355,0.006456480708627885
INFY,20201118,1269875.0,50.0,7971259,B/Q/N,15.16,14.99,-0.018979,0.15930670424835022,-0.04744952292249338,-0.0994853869110257,-0.011213720316622686,0.0018714575001754032
INO,20201118,1341382.0,48031.0,8419882,B/Q/N,11.11,11.04,-0.05641,0.15931125875635788,-0.020618363265655998,-0.20723729057401344,-0.0063006300630063265,0.0497015096230525
INTC,20201118,2471951.0,13335.0,32817918,B/Q/N,45.55,45.06,-0.010323,0.07532321215501848,-0.03562519178189755,0.041939949845283375,-0.01075740944017552,0.008008276720351391
IVV,20201118,731357.0,4988.0,3179144,B/Q/N,362.21,357.59,-0.012046,0.23004840296633308,0.023401880203467007,0.27893165166199274,-0.012755031611496107,0.0049369423091854955
IWM,20201118,3207278.0,6079.0,24377836,B/Q/N,178.94,175.96,-0.014009,0.13156532844014537,0.021145102246422937,0.016902562700966104,-0.016653626914049344,0.08834149664794347
JBLU,20201118,1484491.0,2978.0,8246790,B/Q/N,15.13,14.63,-0.015478,0.18000834263998478,0.006057043444491067,0.03912328874830273,-0.033046926635822864,0.030265265568283694
JCI,20201118,193482.0,3353.0,6541349,Q/N,44.92,45.96,0.027957999999999997,0.029578302579483223,-0.06086881771715624,-0.1912750640664887,0.02315227070347282,0.009036163131398102
JD,20201118,1284077.0,11153.0,12563851,B/Q/N,87.125,86.25,-0.008279,0.10220409331501941,-0.0004666534447621551,-0.29462872266155615,-0.010043041606886656,0.004014274316579242
JDST,20201118,620737.0,3551.0,6192219,B/Q/N,11.26,11.77,0.058453,0.10024467803868048,-0.022627847049643268,0.34106562867699847,0.04529307282415629,0.8681757135592557
JETS,20201118,1947781.0,10984.0,7668655,B/Q/N,21.2101,21.0,0.004785,0.25399251889672964,0.09973860685446065,0.2954251141677469,-0.009905658153426934,0.07000141487905066
JKS,20201118,510520.0,4521.0,2366766,B/Q/N,61.5,59.44,-0.036629,0.21570362258034803,-0.03633664359754013,-0.47959557918141327,-0.03349593495934963,0.013190406820606113
JMIA,20201118,4465616.0,51538.0,24758607,B/Q/N,17.76,20.47,0.188734,0.1803662055785287,0.04309686382856462,1.4085815506865185,0.15259009009008992,0.31576534289817754
JNJ,20201118,663136.0,6240.0,6661008,B/Q/N,148.87,147.37,-0.013257000000000001,0.0995549022009882,-0.008344829044606136,0.04365139985588509,-0.010075905152146167,0.0025302564212338055
JNK,20201118,1440388.0,597.0,6503343,B/Q/N,107.25,106.89,-0.0022400000000000002,0.22148424279635873,-0.003198632063779988,0.38126954553679976,-0.0033566433566433514,0.054799786356988504
JPM,20201118,2271123.0,15622.0,12571217,B/Q/N,117.34,115.25,-0.007407,0.1806605517986047,0.004341720143280131,-0.12962258425278964,-0.017811487983637322,0.004124140268931945
JPST,20201118,767446.0,0.0,2495203,Q/N,50.79,50.78,-0.000197,0.307568562557836,-0.012212290023438266,0.15782437673978542,-0.00019688915140771826,0.00848131543167913
JWN,20201118,3503411.0,15662.0,16482784,B/Q/N,20.75,20.79,0.02112,0.21254971247575652,0.0061157667470778665,0.29762690899220073,0.001927710843373453,0.10488548922725432
KEY,20201118,730078.0,644.0,5893220,Q/N,15.78,15.51,-0.010211,0.12388439596689077,-0.0027459846411290456,-0.3414310561160701,-0.01711026615969579,0.006035213139159642
KGC,20201118,2247315.0,0.0,12000584,B/Q/N,7.74,7.53,-0.030888,0.18726713633269848,0.10651678715523015,-0.0630368293709918,-0.02713178294573643,0.009537140586505602
KHC,20201118,1091970.0,750.0,7285163,B/Q/N,31.7,31.63,0.001266,0.14988957693877267,0.09377264820055642,-0.0677340968401052,-0.0022082018927444885,0.005958633200054001
KIM,20201118,195114.0,850.0,4299048,B/Q/N,15.1,14.55,-0.034506,0.045385396952999826,-0.10487216026972963,-0.57250651972484,-0.03642384105960258,0.009940026126601057
KMI,20201118,3546954.0,9789.0,20243065,B/Q/N,14.02,13.76,-0.019244,0.17521822905770446,-0.0034906902274689233,-0.10014044840804763,-0.018544935805991425,0.008942097067375155
KNDI,20201118,12438141.0,124146.0,38198203,B/Q/N,10.09,11.34,0.205101,0.3256211031707434,0.08456608495701728,5.704877431005409,0.12388503468780972,0.5237481532038709
KO,20201118,1675914.0,18348.0,15278206,B/Q/N,53.75,52.61,-0.019933,0.10969311449263087,0.01182842291527783,-0.12193824776915667,-0.021209302325581405,0.0035551921970697806
KODK,20201118,1197176.0,8988.0,4423042,B/Q/N,7.36,7.1,-0.017981,0.27066801536137347,-0.012838379327591853,-0.10659134607712893,-0.03532608695652183,0.05732052037259255
KR,20201118,683958.0,2228.0,7229185,B/Q/N,32.1,32.04,0.0043890000000000005,0.09461066496430787,0.01071579898631067,-0.21971679542251324,-0.0018691588785047437,0.009336114292025702
KRE,20201118,643478.0,21796.0,7128442,B/Q/N,49.21,48.12,-0.017358,0.09026909386370822,0.01957786637602371,-0.3396249732271957,-0.02214996951839064,0.19316917771478612
KSS,20201118,1729448.0,8908.0,15585565,B/Q/N,29.61,28.68,-0.017135,0.11096472922220016,-0.07296598060696055,0.04758540485809278,-0.03140830800405268,0.09878344844922105
LAC,20201118,825049.0,15675.0,3937832,B/Q/N,11.42,10.79,-0.049339,0.20951858789303351,0.05517261644346211,0.011286936789558595,-0.05516637478108588,0.04343660169650441
LI,20201118,4965692.0,34616.0,28208904,B/Q/N,35.07,35.49,0.012553000000000002,0.17603278737805622,0.002789870912937753,1.3709972317678905,0.011976047904191666,0.06745764243956018
LLY,20201118,363523.0,362.0,2795172,B/Q/N,141.9,140.17,-0.007295,0.13005389292680378,-0.06267609020655751,-0.08260058033840273,-0.012191684284707668,0.0029220424121100437
LQD,20201118,3583660.0,952.0,11878355,B/Q/N,136.84,136.93,0.002122,0.301696657491715,0.10765440507464338,2.156337397547654,0.000657702426191197,0.028775084786821704
LTHM,20201118,1066623.0,26039.0,6057908,B/Q/N,16.13,14.5,-0.049803,0.1760711783671855,0.022149353097937474,1.009894351208659,-0.10105393676379412,0.0414067243969562
LU,20201118,1873378.0,41616.0,14320648,B/Q/N,16.35,14.87,-0.018482000000000002,0.1308165664011852,0.034760073718350715,2.1896066292706666,-0.0905198776758411,0.16366454857142856
LUMN,20201118,1340621.0,2012.0,8031449,B/Q/N,10.21,9.94,-0.019724,0.16692143597002235,-0.02632925230287464,-0.21222336176926057,-0.02644466209598446,0.007320408698966668
LUV,20201118,1941911.0,2155.0,11424706,B/Q/N,46.82,45.6,-0.0013139999999999998,0.16997470219364944,0.057677190660174654,0.10567923405475155,-0.02605724049551471,0.01935495051140458
LVS,20201118,172083.0,1933.0,2884977,B/Q/N,57.37,57.33,-0.002957,0.05964796253141706,-0.231308142748959,-0.5427273574534291,-0.000697228516646316,0.003776997596738147
LYFT,20201118,2071314.0,3537.0,8909538,B/Q/N,39.81,39.77,0.008879,0.23248276173242652,-0.012297366933459175,-0.7045982903676178,-0.0010047726701833495,0.028859569925215278
M,20201118,12828000.0,68686.0,49357285,B/Q/N,8.94,8.99,0.021591,0.25990084341146397,0.08860871060013667,1.1803534664005217,0.005592841163311042,0.1590910103303514
MAC,20201118,1385920.0,603.0,7369717,B/Q/N,9.03,8.7,-0.03118,0.1880560678245854,0.05833529162826814,0.2629036177323275,-0.03654485049833888,0.049304858097878934
MAR,20201118,488965.0,3.0,2370148,B/Q/N,122.26,120.34,-0.019873000000000002,0.2063014630310006,0.08751650393364815,-0.38386775352193775,-0.015704236872239503,0.007307789781496423
MET,20201118,383944.0,1188.0,5627825,B/Q/N,46.25,45.71,-0.006520000000000001,0.06822244828152972,-0.07594861400268312,-0.23756723821548878,-0.011675675675675658,0.006253496637534863
MGM,20201118,3757763.0,3830.0,14038020,B/Q/N,26.52,26.91,0.018547,0.26768468772661674,0.09728594747123434,0.5628817994112315,0.014705882352941199,0.028420548258723692
