Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Exchange,Open,Close,VIX Close,Previous day's close change,Short Interest Ratio,Previous short interest % change,Previous volume delta,Open/close % change,Total Volume/Shares Outstanding
AA,20201130,457586.0,6570.0,4427569.0,B/Q/N,NYSE,20.32,19.9,20.57,0.19899999999999998,0.10334926457385532,-0.23006819716549357,0.18399741784282375,-0.020669291338582762,0.023813149349991024
AAL,20201130,20670645.0,132514.0,97536336.0,B/Q/N,NASDAQ,14.92,14.13,20.57,0.1413,0.21192763484574612,-0.15877609069649135,0.47633865762565736,-0.052949061662198336,0.1612174014028226
AAPL,20201130,22230188.0,130282.0,169410180.0,B/Q/N,NASDAQ,116.97,119.05,20.57,1.1905,0.13122108718614195,-0.23165879847285914,2.6283005082892155,0.017782337351457626,0.009964248495541825
ABB,20201130,172171.0,0.0,1499614.0,B/Q/N,NYSE,26.74,26.34,20.57,0.2634,0.11481021116100543,-0.23223072518255006,0.47253409793890355,-0.014958863126402341,0.0006916565739067003
ABBV,20201130,828365.0,3138.0,20726455.0,B/Q/N,NYSE,105.12,104.58,20.57,1.0458,0.039966554820879886,-0.3490531853578343,3.6905686697440068,-0.005136986301369923,0.01173988169974233
ABT,20201130,288078.0,5996.0,5702327.0,B/Q/N,NYSE,107.77,108.22,20.57,1.0822,0.05051937568645221,-0.2150474811728879,1.8814169371314113,0.004175559060963189,0.0032173609838589703
ACB,20201130,40218593.0,293996.0,127028183.0,B/Q/N,NYSE,11.25,11.68,20.57,0.1168,0.3166115742992246,-0.09150713868007859,1.4548245906792476,0.0382222222222222,0.6916634893504842
ACGL,20201130,659427.0,6723.0,11979570.0,Q/N,NASDAQ,32.7,32.195,20.57,0.32195,0.05504596575670078,-0.4084801365487173,7.476286771989607,-0.015443425076452676,0.029504399182546107
ACWI,20201130,913916.0,300.0,10556394.0,B/Q/N,NASDAQ,88.15,87.33,20.57,0.8733,0.08657463902919879,-0.44986058446349586,5.013579609735756,-0.009302325581395432,0.06540516728624535
ADBE,20201130,196233.0,1000.0,2786955.0,B/Q/N,NASDAQ,480.0,478.47,20.57,4.7847,0.07041125529475718,-0.35488699183044203,0.5350979625335309,-0.003187499999999943,0.005809557467522606
ADI,20201130,213762.0,700.0,3010588.0,B/Q/N,NASDAQ,137.65,139.08,20.57,1.3908,0.07100340531484214,-0.404032382494126,1.3056848154740206,0.010388666908826784,0.008148067778001396
ADM,20201130,170428.0,1881.0,2624889.0,B/Q/N,NYSE,50.2,49.77,20.57,0.49770000000000003,0.0649276978950348,-0.2614387297053965,0.8978233756656219,-0.008565737051792822,0.004717722256966995
ADT,20201130,263461.0,0.0,2903778.0,B/Q/N,NYSE,8.05,7.77,20.57,0.07769999999999999,0.09073042085173177,-0.31618364520122355,1.121990146314514,-0.03478260869565231,0.003815228790951524
AEO,20201130,618174.0,7660.0,4768639.0,B/Q/N,NYSE,18.35,17.99,20.57,0.17989999999999998,0.12963321400508615,-0.4276145726015202,0.5046381006741882,-0.019618528610354385,0.028707029437732522
AEP,20201130,265472.0,3237.0,3484524.0,B/Q/N,NASDAQ,84.82,84.89,20.57,0.8489,0.07618601565091818,-0.2983214530737328,2.0178392956431517,0.0008252770572978943,0.007019737043851533
AER,20201130,306173.0,304.0,21898875.0,B/Q/N,NYSE,38.44,36.76,20.57,0.3676,0.013981220496486691,-0.5989482387716809,8.864931340604928,-0.0437044745057232,0.16876885496386992
AES,20201130,372259.0,1780.0,8001770.0,B/Q/N,NYSE,20.97,20.44,20.57,0.20440000000000003,0.04652208198935985,-0.3731870012956585,3.158710128740777,-0.025274201239866362,0.012030364273362822
AFL,20201130,286988.0,2315.0,5918315.0,B/Q/N,NYSE,44.79,43.93,20.57,0.4393,0.04849150476106797,-0.5742441292241043,1.8541298043930425,-0.019200714445188647,0.008425304380841813
