Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Exchange,Open,Close,VIX Close,Previous day's close change,Short Interest Ratio,Previous short interest % change,Previous volume delta,Open/close % change,Total Volume/Shares Outstanding
AA,20201127,281387.0,12771.0,3739509.0,B/Q/N,NYSE,20.6,20.48,20.84,0.2048,0.07524704446492841,-0.2686149477270051,-0.308230328130567,-0.00582524271844665,0.020112501084146986
AAL,20201127,14268852.0,104677.0,66066370.0,B/Q/N,NASDAQ,15.12,14.98,20.84,0.14980000000000002,0.21597753895060376,-0.18297847116743596,-0.34621718110963184,-0.00925925925925918,0.10920082636195598
AAPL,20201127,7419772.0,58240.0,46691331.0,B/Q/N,NASDAQ,116.57,116.59,20.84,1.1659,0.15891112635019977,-0.20305790158530385,-0.38964969244005765,0.00017157073003354407,0.002746257779028364
ABB,20201127,72585.0,0.0,1018390.0,B/Q/N,NYSE,26.57,26.6,20.84,0.266,0.07127426624377695,-0.47055486403317637,-0.28765185811094385,0.0011290929619872463,0.0004697049629443607
ABBV,20201127,396564.0,2053.0,4418751.0,B/Q/N,NYSE,104.98,104.89,20.84,1.0489,0.08974572226405154,-0.3334847242611103,-0.3061092678027393,-0.0008573061535530902,0.0025028695935034777
ABT,20201127,196972.0,4715.0,1979001.0,B/Q/N,NYSE,106.67,107.62,20.84,1.0762,0.09953102600756644,-0.16841683654492903,-0.6820443174407521,0.008905971688384764,0.0011165898771532895
ACB,20201127,11101513.0,411852.0,51746338.0,B/Q/N,NYSE,8.98,10.47,20.84,0.1047,0.21453717169319306,-0.3182929589780643,0.5049404219540832,0.16592427616926506,0.28175678701308
ACGL,20201127,232666.0,12000.0,1413304.0,Q/N,NASDAQ,33.35,33.03,20.84,0.33030000000000004,0.16462558656877785,-0.6252100842178188,-0.408573546033671,-0.009595202398800608,0.0034808165386812
ACWI,20201127,193195.0,0.0,1755426.0,B/Q/N,NASDAQ,88.26,88.41,20.84,0.8841,0.11005590665741535,-0.47611548879101506,0.2502606748487231,0.0016995241332425953,0.010703817073170733
ADBE,20201127,256750.0,0.0,1815490.0,B/Q/N,NASDAQ,476.9,477.03,20.84,4.7703,0.1414218750860649,-0.20223548747019993,-0.3108714004172373,0.00027259383518556395,0.003784486468820851
ADI,20201127,174217.0,100.0,1305724.0,B/Q/N,NASDAQ,138.12,137.75,20.84,1.3775,0.13342559377019952,-0.36957026623430983,-0.36000447013245707,-0.0026788300028960654,0.003533903560156054
ADM,20201127,167097.0,1102.0,1383105.0,B/Q/N,NYSE,50.5,50.45,20.84,0.5045000000000001,0.120812953463403,-0.49175289320974175,-0.4379312727065842,-0.0009900990099009337,0.002485859494333793
