Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Open,Close,Previous day's close change,Short Interest Ratio,Previous short interest % change,Previous volume delta,Previous close % change,Total Volume/Shares Outstanding
AA,20201110,379908.0,41192.0,4843782,B/Q/N,15.89,15.99,0.016529000000000002,0.07843210119695726,-0.02812581880304274,-0.4215170240369061,0.006293266205160456,0.026051701099361346
AAL,20201110,16827182.0,80570.0,127529338,B/Q/N,12.85,12.38,-0.062121,0.13194753665231132,0.002764881652311313,-0.4487034675028676,-0.036575875486381235,0.2507301819642307
AAPL,20201110,25661599.0,89602.0,138023390,B/Q/N,115.55,116.0,-0.002751,0.1859221034927486,0.041864493492748595,-0.10673327106766084,0.003894418000865451,0.008118162415960379
ABBV,20201110,1614565.0,11610.0,12267223,B/Q/N,96.01,98.87,0.039424,0.1316161775162969,0.03741002551629691,0.11227579440997956,0.02978856369128215,0.006948402261957397
AG,20201110,1318063.0,2000.0,6307312,B/Q/N,11.37,10.81,-0.045053,0.20897380690855313,0.07064077590855314,-0.18542616493019187,-0.04925241864555838,0.028509211452748554
AGG,20201110,736947.0,310.0,5146371,B/Q/N,117.05,117.06,-0.0016200000000000001,0.14319741036936512,0.008359135369365112,-0.22322269909898215,8.543357539517399e-05,0.00740378506689685
AGNC,20201110,1880456.0,7423.0,17959036,B/Q/N,14.31,14.86,0.050177,0.10470807007681258,0.016670416076812578,0.34394105978284456,0.03843466107617043,0.03293957249098652
AIG,20201110,1742824.0,0.0,10214041,B/Q/N,37.89,38.23,0.018923000000000002,0.17063021383994836,0.10482120083994836,-0.2585814820326139,0.0089733438902084,0.011855758449114417
AMAT,20201110,670659.0,14809.0,8206498,B/Q/N,70.95,69.39,-0.026788,0.08172292249385792,0.007156838493857912,-0.19184134265551359,-0.021987315010570857,0.008985714308301564
AMD,20201110,10627839.0,36195.0,67137196,B/Q/N,81.93,77.99,-0.061718,0.15830031090366062,-0.006539946096339372,0.14606370932780505,-0.048089832784084116,0.05582152352964926
AMZN,20201110,1003385.0,2030.0,6590956,B/Q/N,3095.02,3035.02,-0.034583,0.15223664063301287,0.023839718633012874,-0.08336803234754755,-0.019385981350685942,0.013135905252065943
APA,20201110,2216563.0,6317.0,18289516,B/Q/N,10.03,9.99,0.024615,0.12119309226116208,0.008188924261162078,-0.3191193154172219,-0.0039880358923229465,0.04845184933098994
APPS,20201110,668016.0,23857.0,5170701,B/Q/N,37.3557,33.97,-0.07033400000000001,0.12919254081796647,0.023366968817966474,-0.11981805684217192,-0.0906340933244458,0.05829616554669209
APVO,20201110,1422308.0,4237.0,4079139,B/Q/N,31.61,44.32,0.353696,0.3486784833760262,0.11391981337602619,-0.4538622365902243,0.40208794685226196,1.2617932195850607
ARKK,20201110,509838.0,3869.0,4419827,B/Q/N,97.26,94.76,-0.027404,0.11535247872823981,-0.12112339027176017,-0.0503081355035573,-0.025704297758585234,0.04082981062355658
ATVI,20201110,801780.0,23938.0,8658862,B/Q/N,74.8,75.12,-0.003846,0.09259646359995112,0.01948734359995112,-0.36873144858137646,0.004278074866310259,0.01120370253140624
AUY,20201110,5496711.0,179621.0,18441521,B/Q/N,5.61,5.38,-0.037566999999999996,0.29806169458582077,0.05028629958582076,-0.11702753354132865,-0.040998217468805775,0.019358717685207444
BA,20201110,10089524.0,38557.0,46404277,B/Q/N,182.8,188.69,0.052018,0.2174265962596508,0.0946108012596508,-0.05325239849862934,0.03222100656455135,0.0821998880675338
BABA,20201110,11431097.0,56408.0,61063978,B/Q/N,279.97,266.54,-0.08257300000000001,0.1871986951128536,0.016526117112853594,1.7067523308756802,-0.0479694252955674,0.0028211465094758106
BAC,20201110,5666199.0,40632.0,77694587,B/Q/N,27.485,27.66,-0.003602,0.0729291346899109,-0.004995194310089102,-0.5644404879954098,0.006367109332363133,0.008981213247374085
BAX,20201110,546208.0,5800.0,5213084,B/Q/N,81.2,81.55,0.007163,0.10477636654233848,0.07136098654233847,-0.12983639919317955,0.004310344827586137,0.010205356777302292
BBBY,20201110,2560488.0,39421.0,10321022,B/Q/N,19.03,18.95,0.016631,0.2480847342443413,0.024800547244341303,-0.3080260427306584,-0.004203888596952278,0.08190753017467853
BE,20201110,623686.0,2304.0,5714888,B/Q/N,16.26,15.57,0.002576,0.10913354732411204,-0.03225239767588797,-0.1352484336946497,-0.04243542435424362,0.05539717855816338
BHC,20201110,500252.0,2930.0,4754977,B/Q/N,19.11,19.49,0.017223,0.1052059768112443,0.007697894811244305,-0.6088996447261733,0.01988487702773412,0.01338860646097797
BK,20201110,350740.0,1887.0,6628070,B/Q/N,39.17,39.22,0.001532,0.05291736508516054,0.007760823085160538,-0.3129568664198258,0.0012764871074801417,0.007479745161634677
BKLN,20201110,1585837.0,0.0,5114055,B/Q/N,22.04,22.0,-0.0009080000000000001,0.31009384920576727,-0.07274833679423276,-0.6198160253479029,-0.001814882032667838,0.027915147379912665
BKR,20201110,1866258.0,3146.0,9989946,B/Q/N,17.7,17.6,-0.003962,0.18681362241597702,0.054045978415977025,-0.2923490977650153,-0.005649717514124173,0.014566489035173585
BLNK,20201110,724183.0,9958.0,2214921,B/Q/N,9.41,9.49,0.022629,0.32695658219864276,0.018884697198642775,-0.37804956124956124,0.008501594048884174,0.06976766381811252
BMY,20201110,603042.0,11301.0,11210020,Q/N,64.21,64.52,0.006866,0.053794908483660156,0.010318156483660156,-0.2783228794415092,0.004827908425478933,0.004960731262135167
BND,20201110,1312461.0,0.0,5169722,B/Q/N,87.43,87.44,-0.00194,0.25387457971627875,-0.041739145283721246,-0.0950665345661162,0.0001143772160584571,0.007090328891523214
BNDX,20201110,728775.0,0.0,2534769,B/Q/N,58.03,57.99,-0.000861,0.28751140636484035,0.20851698836484034,-0.8013989059255666,-0.000689298638635174,0.004347908772245309
BP,20201110,3600723.0,19061.0,36959122,B/Q/N,19.32,19.1,0.056416,0.09742447344934223,0.00811975944934222,-0.26818357045362745,-0.011387163561076545,0.0018235560646077539
BSX,20201110,911116.0,177.0,10274657,B/Q/N,38.25,38.2,-0.000262,0.08867605020780743,0.03298812520780743,-0.5195401703311505,-0.0013071895424835859,0.007175433355943582
BTG,20201110,2108082.0,3250.0,10483562,B/Q/N,6.5,6.0,-0.068323,0.20108451688462375,-0.03333930111537625,0.12283677004929484,-0.07692307692307693,0.009978716974608962
C,20201110,3335907.0,24657.0,33275846,B/Q/N,48.31,47.65,0.00021,0.10025010333321052,0.036078688333210526,-0.41513830357580533,-0.013661767749948327,0.015982944507343142
CARR,20201110,643662.0,5835.0,5588523,B/Q/N,39.03,37.81,-0.025515,0.11517569132309198,0.017293280323091978,-0.22235048867803467,-0.031258006661542374,0.006448142484483639
CAT,20201110,400803.0,1853.0,3499082,B/Q/N,171.9,172.3,0.008664,0.11454518642318186,0.007278343423181857,-0.4138478753949189,0.002326934264107072,0.0064409179012922665
CCL,20201110,28280831.0,721676.0,119449520,B/Q/N,18.54,16.73,-0.130909,0.23675968727207944,0.00436608827207946,-0.35538714330167814,-0.09762675296655873,0.16577123541146724
CDE,20201110,551313.0,20555.0,4474639,B/Q/N,7.86,7.79,0.007762,0.12320837502198502,-0.0046968819780149745,-0.49927397261193723,-0.008905852417302835,0.01835868990566782
CGC,20201110,1000081.0,7314.0,9094829,B/Q/N,23.89,23.71,-0.035394999999999996,0.10996149570266797,-0.03184059529733202,-0.47822110152551056,-0.007534533277521963,0.024496395544171896
CLF,20201110,1657798.0,22683.0,8480270,B/Q/N,8.69,8.32,-0.025761,0.1954888228794602,-0.013754179120539778,-0.19299784238474488,-0.04257767548906781,0.021240943208418014
CMCSA,20201110,1468910.0,111326.0,21103089,B/Q/N,46.1655,47.77,0.012504999999999999,0.06960639743309617,-0.029537922566903824,-0.4366016245923969,0.03475539093045676,0.00462191179766713
CNC,20201110,889107.0,229.0,6561799,B/Q/N,69.76,71.12,0.033421,0.13549744513661574,0.04516139913661574,0.5591335305001475,0.019495412844036688,0.011317394332045639
CNK,20201110,5814762.0,52233.0,24720157,B/Q/N,13.6,13.56,0.036697,0.2352235060643021,0.08138609806430208,-0.5146029555936784,-0.002941176470588173,0.2092119569662878
COG,20201110,496111.0,3244.0,5575912,B/Q/N,16.78,17.19,0.032431999999999996,0.0889739651558346,-0.024382877844165415,-0.4934396400094155,0.02443384982121574,0.013989446697637005
COP,20201110,2656721.0,1603.0,20650586,B/Q/N,34.35,35.53,0.06441,0.12865111914983915,0.05850488514983915,0.17235988780862635,0.03435225618631731,0.01933652930156333
CRON,20201110,888885.0,4353.0,7933427,B/Q/N,6.88,7.27,0.005533,0.11204300487040468,-0.0640578771295953,-0.5941561113971027,0.05668604651162786,0.022273219056279672
CSCO,20201110,2562434.0,12422.0,31514511,B/Q/N,38.21,38.72,0.013613,0.08130965446362154,0.0035920954636215335,-0.26108200750029226,0.013347291285003874,0.007466089789294994
CVS,20201110,2390609.0,31285.0,15038768,B/Q/N,68.45,70.23,0.039982000000000004,0.15896308793379882,0.0036363359337988344,-0.04189430973660383,0.026004382761139533,0.011491348937759735
CVX,20201110,1536506.0,10680.0,15039666,B/Q/N,81.14,83.07,0.046222000000000006,0.10216357198357995,0.012378364983579956,-0.37374338340402263,0.02378604880453528,0.007812602708267705
DAL,20201110,3738083.0,24078.0,28449375,B/Q/N,36.1,37.04,0.007343,0.1313942046178519,0.020024878617851904,-0.5102233439224397,0.02603878116343484,0.04461007500363384
DBX,20201110,949274.0,10292.0,8121349,B/Q/N,18.67,18.47,-0.014933,0.11688624636128801,-0.022404756638711984,-0.12723029770258973,-0.010712372790573263,0.025710325896366824
DDD,20201110,595419.0,8508.0,4971347,B/Q/N,7.45,7.31,0.064047,0.11977015484937986,-0.0062042511506201214,-0.16694491881086712,-0.018791946308724907,0.04004567030472016
DIS,20201110,2245955.0,9015.0,18115410,B/Q/N,139.97,142.11,-0.003366,0.123980357055126,-0.014900150944874013,-0.4916354526954694,0.015288990497963955,0.0100247785168286
DKNG,20201110,2903567.0,60226.0,17118774,B/Q/N,40.79,40.36,-0.027469999999999998,0.1696130225213558,0.0009407335213558188,-0.18919849799631958,-0.010541799460652115,0.045258804172422444
DNKN,20201110,296346.0,1874.0,4568607,Q/N,106.08,106.14,0.000849,0.06486572384098697,0.030855818840986975,-0.3761627802183577,0.0005656108597285282,0.05543277220851659
DT,20201110,489763.0,3846.0,4224034,B/Q/N,35.22,34.36,-0.03184,0.11594674664077041,0.01717802164077041,0.12007274050213008,-0.024417944349801234,0.014973719189689387
DUST,20201110,538040.0,20421.0,3580151,B/Q/N,17.94,19.3,0.06629800000000001,0.1502841639919657,0.0818415799919657,-0.4522636544682156,0.07580824972129316,0.7005931895429722
DVN,20201110,1382797.0,437.0,12157075,B/Q/N,11.55,11.76,0.037952,0.11374421890133934,0.015094222901339355,-0.31641020914839585,0.0181818181818181,0.031783202614379086
EBAY,20201110,2595497.0,3548.0,15521805,B/Q/N,47.55,46.54,-0.036838,0.16721618394252472,0.01605848194252471,-0.19941269927315436,-0.02124079915878019,0.022516955493551188
