Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Open,Close,Previous day's close change,Short Interest Ratio,Previous short interest % change,Previous volume delta,Previous close % change,Total Volume/Shares Outstanding
AA,20201109,892236.0,7661.0,8373249,B/Q/N,15.5,15.73,0.089335,0.10655792034848122,-0.004004287371036655,0.9675106056312412,0.014838709677419383,0.045034516453987046
AAL,20201109,29883334.0,447668.0,231326211,B/Q/N,14.33,13.2,0.151832,0.12918265453282335,-0.021856115909880458,5.302534198067649,-0.07885554780181443,0.4548009413890788
AAPL,20201109,22259107.0,138345.0,154515315,B/Q/N,120.5,116.32,-0.019968,0.14405761008221094,-0.016930137013180163,0.3499748405357211,-0.034688796680497985,0.009088172830150593
ABBV,20201109,1038994.0,8442.0,11028940,B/Q/N,95.74,95.12,0.024447999999999998,0.09420615217781582,-0.01069759451402974,0.574005041867135,-0.006475872153749639,0.006247013822361623
AG,20201109,1071124.0,10241.0,7743082,B/Q/N,11.22,11.32,-0.039864000000000004,0.13833303069759562,-0.05876142275769167,-0.21062821828962083,0.008912655971479468,0.03499892855054121
AGG,20201109,893342.0,45.0,6625285,B/Q/N,117.4,117.25,-0.0046689999999999995,0.1348382748817598,0.03370601368880717,0.20144032444202978,-0.0012776831345826718,0.009538273826662828
AGNC,20201109,1176444.0,7493.0,13362964,B/Q/N,14.39,14.15,0.002835,0.08803765392168983,-0.12280401715247824,1.0910277876012031,-0.016678248783877705,0.024509685340150952
AIG,20201109,906608.0,0.0,13776350,B/Q/N,36.96,37.52,0.13148400000000002,0.06580901327274641,-0.02166923847314635,0.6538276987252909,0.015151515151515213,0.015992347178349957
AMAT,20201109,757186.0,6848.0,10154563,B/Q/N,73.2,71.3,0.010917,0.0745660842322806,-0.03821761031502925,0.17534262335725634,-0.025956284153005542,0.01111875029320054
AMD,20201109,9656455.0,37895.0,58580684,B/Q/N,84.24,83.12,-0.032138,0.16484025690106316,-0.02367404859616054,0.08825475846748174,-0.013295346628679847,0.04870717314868121
AMZN,20201109,923226.0,3272.0,7190406,B/Q/N,3231.03,3143.74,-0.050622999999999994,0.12839692223220775,-0.030734019620425906,0.547212270271317,-0.02701615274386199,0.014330620920529051
APA,20201109,3035468.0,14641.0,26861558,B/Q/N,9.73,9.75,0.142355,0.11300416751701446,-0.07136669440857545,1.2009554017743784,0.0020554984583761125,0.071160557830598
APPS,20201109,621681.0,40995.0,5874582,B/Q/N,41.94,36.54,-0.13617,0.10582557193005392,-0.02058839086593474,0.2623050190884843,-0.12875536480686692,0.06623194897357583
APVO,20201109,1753428.0,44470.0,7469066,B/Q/N,50.0035,32.74,0.381435,0.23475866995953712,-0.017012523727577916,-0.010589342568987569,-0.34524583279170457,2.3103936481285174
ARKK,20201109,1100549.0,11553.0,4653959,B/Q/N,105.0,97.43,-0.045552999999999996,0.2364758692545422,-0.04564692106226639,0.43700895714655796,-0.07209523809523803,0.04353563143124416
ATVI,20201109,1002809.0,840.0,13716606,B/Q/N,75.0,75.41,-0.04314199999999999,0.0731091204340199,0.01682449465802307,0.8104038186270919,0.0054666666666666214,0.017747918071046982
AUY,20201109,5174969.0,16408.0,20885726,B/Q/N,5.68,5.59,-0.058922999999999996,0.24777539454458036,0.15780417948097192,0.28936945203795705,-0.015845070422535187,0.02192448623324491
BA,20201109,6019744.0,56001.0,49014412,B/Q/N,179.0,179.36,0.137061,0.12281579548480558,-0.060004173477660364,4.448733819795543,0.002011173184357618,0.08682344474618116
BABA,20201109,3850351.0,12730.0,22559869,B/Q/N,303.77,290.53,-0.031404999999999995,0.17067257793030624,-0.027783357597012948,-0.10687823746147351,-0.04358560753201438,0.0010422625215078772
BAC,20201109,13900049.0,122849.0,178378809,B/Q/N,26.6003,27.76,0.14191700000000002,0.07792432900479787,-0.010003734386857824,2.2166702062056616,0.043597252662563986,0.020619945150639793
BAX,20201109,200189.0,0.0,5990924,B/Q/N,81.74,80.97,0.025846,0.033415379664305536,-0.03361164667438056,0.9072566768360723,-0.00942011255199408,0.011728089715359078
BBBY,20201109,3330358.0,28905.0,14915333,B/Q/N,21.725,18.64,-0.130597,0.2232841868163453,0.053733673732390796,2.465479345367793,-0.1420023014959724,0.11836793757080243
BE,20201109,934378.0,18807.0,6608705,B/Q/N,15.9,15.53,0.061517,0.14138594475014393,0.004543613971981275,0.04106178864887966,-0.023270440251572388,0.0640613798421294
BHC,20201109,1185498.0,31330.0,12157946,B/Q/N,17.9,19.16,0.151442,0.0975080823685185,0.0019658294968904894,2.7627955113655003,0.07039106145251406,0.034233173865577324
BK,20201109,435636.0,42139.0,9647240,B/Q/N,38.44,39.16,0.116624,0.04515654218201268,-0.020613482717529052,1.2245958032811683,0.018730489073881345,0.010886864006132785
BKLN,20201109,5149812.0,0.0,13451527,Q/N,21.97,22.02,0.011019000000000001,0.3828421858722805,-0.023286569988354378,2.158591179349808,0.0022758306781975744,0.07342536572052402
BKR,20201109,1874288.0,1709.0,14117054,B/Q/N,17.41,17.67,0.134875,0.13276764401411228,-0.011872644882561012,1.0102375480236607,0.014933946008041446,0.020584286671815184
BLNK,20201109,1097121.0,23214.0,3561250,B/Q/N,10.7394,9.28,-0.067337,0.30807188487188486,0.09400469323396496,0.4212096154981986,-0.13589213550105225,0.11217560029105021
BMY,20201109,675337.0,7547.0,15533290,B/Q/N,65.12,64.08,0.0043890000000000005,0.04347675218836448,-0.00023230888638860886,0.6046586607750047,-0.015970515970516064,0.006873892937462339
BND,20201109,1688788.0,3.0,5712820,B/Q/N,87.74,87.61,-0.004658,0.2956137249204421,-0.06882233473732102,0.48596095906676734,-0.001481650330521945,0.007835193594176174
BNDX,20201109,1008215.0,0.0,12763117,B/Q/N,58.2,58.04,-0.0065049999999999995,0.07899441805634157,-0.19297161368515126,3.679037057648449,-0.002749140893470854,0.021892672809827336
BP,20201109,4510180.0,125176.0,50503269,B/Q/N,18.48,18.08,0.15601,0.0893047141166248,-0.1214554243795864,1.8793476903710014,-0.02164502164502176,0.002491821706897333
BSX,20201109,1190889.0,11905.0,21385049,B/Q/N,38.485,38.21,0.070308,0.055687924773985785,-0.04606883609400502,0.9191745333796052,-0.007145641158893039,0.014934512549965214
BTG,20201109,2188739.0,39754.0,9336675,B/Q/N,6.51,6.44,-0.073381,0.23442381790091227,0.05296360805953901,0.6771565198787778,-0.010752688172042918,0.008887059313323765
C,20201109,3651048.0,62693.0,56895239,B/Q/N,46.87,47.64,0.11542999999999999,0.06417141511612245,-0.037246544676203266,2.2134713099131686,0.01642841903136341,0.027327733385622274
CARR,20201109,703425.0,515.0,7186429,B/Q/N,40.74,38.8,-0.003851,0.09788241141740912,-0.05699183781167015,1.0872815579380655,-0.047619047619047734,0.008291836348642615
CAT,20201109,640338.0,1720.0,5969580,B/Q/N,174.03,170.82,0.059086,0.1072668428934699,-0.036031850734037765,1.0012048301823036,-0.018445095673159845,0.010988474887183635
