Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Exchange,Open,Close,VIX Close,Previous day's close change,Short Interest Ratio,Previous short interest % change,Previous volume delta,Open/close % change,Total Volume/Shares Outstanding
A,20201202,126739.0,302.0,1735789,B/Q/N,NYSE,115.63,114.57,20.77,-0.006848,0.07301521095017885,-0.011021646590374648,-0.010196895540839758,-0.009167171149355724,0.005672513071895425
AA,20201202,573589.0,19578.0,5865733,B/Q/N,NYSE,21.58,22.37,20.77,0.024737,0.09778641475839422,-0.008596203902128646,-0.2959890915349457,0.03660797034291023,0.03154814210149427
AAL,20201202,15469301.0,104130.0,75838920,B/Q/N,NASDAQ,14.16,14.86,20.77,0.041345,0.20397575545643318,-0.0026077571346153072,-0.007190093522087547,0.04943502824858752,0.1253538333405978
AAN,20201202,290569.0,13277.0,2105420,B/Q/N,NYSE,18.13,18.25,20.77,-0.008690999999999999,0.13800999325550248,0.07159294823764051,-0.7602744054311781,0.00661886376172096,0.062330161987606915
AAP,20201202,161370.0,346.0,1279859,B/Q/N,NYSE,151.18,148.45,20.77,-0.027259000000000002,0.12608420146281737,0.017644147264644375,0.017097060027258026,-0.01805794417250971,0.01886180377704725
AAPL,20201202,15192696.0,222010.0,88951617,B/Q/N,NASDAQ,122.02,123.08,20.77,0.002934,0.1707972998399793,0.00043074244055660293,-0.30596991640651283,0.008687100475331931,0.005231893478114849
ABB,20201202,138572.0,106.0,1775683,B/Q/N,NYSE,26.62,26.55,20.77,-0.004499,0.07803870398038389,-0.04254178600411988,-0.0621554416842808,-0.0026296018031555326,0.0008189859658047814
ABBV,20201202,531156.0,9277.0,5490879,B/Q/N,NYSE,104.0,104.99,20.77,0.009131,0.09673423872571223,0.005539130778303786,-0.2798943542001143,0.00951923076923072,0.003110144493479443
ABT,20201202,196281.0,1050.0,3444775,B/Q/N,NYSE,108.31,108.15,20.77,-0.003134,0.05697933827318185,-0.015931892094599158,-0.19237405956425208,-0.0014772412519619294,0.0019436073524322236
ACB,20201202,21734963.0,697834.0,71150582,B/Q/N,NYSE,10.14,10.95,20.77,0.123077,0.30547835856072125,0.05134837944259796,-0.09110181778660487,0.0798816568047336,0.38741213684397696
ACGL,20201202,84317.0,0.0,1669166,B/Q/N,NASDAQ,32.97,33.11,20.77,0.002726,0.05051444853297994,-0.07948740740035971,-0.44877921196145737,0.004246284501061588,0.004110977269295455
ACI,20201202,441717.0,1847.0,2349648,B/Q/N,NYSE,15.74,15.52,20.77,-0.016477,0.18799283977855408,0.02108322080337946,0.08321139616900629,-0.01397712833545112,0.0049711922270049315
ACN,20201202,164660.0,735.0,1671130,B/Q/N,NYSE,250.71,249.66,20.77,-0.010346,0.09853213095330704,0.010771991285264002,-0.19604761375570504,-0.004188105779586021,0.002637657552758774
ACWI,20201202,121657.0,0.0,2767112,B/Q/N,NASDAQ,88.23,88.75,20.77,0.002032,0.04396533280908037,-0.04662644501233136,-0.3250559483287457,0.005893686954550561,0.01714443618339529
ACWX,20201202,141996.0,0.0,1042624,B/Q/N,NASDAQ,51.57,51.79,20.77,0.0009660000000000001,0.13619099502792953,0.048477916584049735,-0.632564482990728,0.004266046150862883,0.01481
ADBE,20201202,176099.0,850.0,2106680,B/Q/N,NASDAQ,475.67,481.26,20.77,0.004404,0.08359076841285815,0.00513932411799066,-0.16832933949713194,0.011751844766329546,0.004391487672273332
ADI,20201202,233847.0,0.0,2193004,B/Q/N,NASDAQ,140.71,140.66,20.77,-0.000497,0.1066331844355961,0.0422123462516613,-0.30625727590221186,-0.0003553407718002371,0.00593530075501137
ADM,20201202,181896.0,518.0,2719279,B/Q/N,NYSE,49.95,49.49,20.77,-0.012373,0.06689126051427603,0.007178610103276958,0.14592553386054266,-0.009209209209209226,0.004887369736854759
ADNT,20201202,90721.0,0.0,1334925,B/Q/N,NYSE,32.59,32.73,20.77,-0.011775,0.06795962319980524,-0.01637634165413754,-0.3472096166560389,0.004295796256520204,0.014217427393776032
ADP,20201202,284947.0,15281.0,2364976,B/Q/N,NASDAQ,174.68,171.58,20.77,-0.017691,0.12048621212223719,0.045148615335682915,0.04162856866009531,-0.017746736890313683,0.005515155768037321
ADSK,20201202,143925.0,701.0,1426356,B/Q/N,NASDAQ,277.99,277.06,20.77,-0.007345000000000001,0.10090398189512295,0.023155734269873704,-0.18668828114175062,-0.0033454440807223528,0.006504748788670925
ADT,20201202,1029139.0,4540.0,6446426,B/Q/N,NYSE,7.72,7.95,20.77,0.024485,0.15964489470599677,0.05442630582792847,1.559262301492619,0.029792746113989695,0.008469858947184829
AEL,20201202,64616.0,2100.0,1427250,B/Q/N,NYSE,26.86,27.43,20.77,0.016679,0.04527307759677702,-0.006858742218472311,0.20679814826558438,0.02122114668652272,0.015510715282462976
AEM,20201202,130499.0,0.0,1069614,B/Q/N,NYSE,69.13,69.08,20.77,0.00407,0.12200569551258679,-0.02367716506540672,-0.5237057487643051,-0.0007232749891508341,0.004401862877239104
AEO,20201202,1237289.0,6044.0,4748734,B/Q/N,NYSE,17.64,18.35,20.77,0.02514,0.26055133852517326,0.0481926176890381,-0.33572071345549354,0.04024943310657601,0.02858720207798521
AEP,20201202,161183.0,1643.0,1858727,B/Q/N,NASDAQ,84.86,85.87,20.77,0.007745999999999999,0.08671687665805683,-0.004919536073814013,-0.4472430655840278,0.011901956163092212,0.003744492727358752
AER,20201202,105286.0,0.0,2100896,B/Q/N,NYSE,37.28,37.94,20.77,0.014439,0.05011480815804305,-0.008057212673802168,-0.15692825790524223,0.017703862660944113,0.01619105147265211
AES,20201202,1697485.0,13273.0,6780459,B/Q/N,NYSE,20.48,21.16,20.77,0.027184,0.2503495707296512,0.17318381708689218,0.1423751201476563,0.033203124999999986,0.010194168504043657
AFL,20201202,262965.0,8572.0,3684538,B/Q/N,NYSE,44.55,45.31,20.77,0.013647,0.0713698705237943,0.023704618766123155,-0.0886925835255522,0.017059483726150508,0.0052453027851302484
AFMD,20201202,128833.0,2470.0,1435745,B/Q/N,NASDAQ,5.24,5.21,20.77,-0.016981,0.08973250821002336,-0.015992125138400273,0.021972757738049478,-0.005725190839694703,0.018829467070390033
AG,20201202,686620.0,893.0,4059322,B/Q/N,NYSE,11.11,11.24,20.77,0.019039,0.16914647322878057,-0.026252188731882037,-0.37254141222784076,0.011701170117011772,0.01834823919488907
AGG,20201202,1684800.0,4200.0,6120981,B/Q/N,Pacific,117.81,117.71,20.77,-0.001103,0.27524999669170674,0.08329349342161124,0.17919187058247174,-0.0008488243782362153,0.008695810484443813
AGI,20201202,266088.0,7034.0,2293756,B/Q/N,NYSE,8.63,8.67,20.77,-0.002301,0.11600536412765787,0.03717547876893619,-0.2739546081565032,0.004634994206257143,0.005841022688013402
AGNC,20201202,996425.0,793.0,5494878,B/Q/N,NASDAQ,15.31,15.32,20.77,-0.0013039999999999998,0.18133705607294648,0.009254725988102203,-0.13384305581279876,0.0006531678641410703,0.010078432506629367
AGQ,20201202,133516.0,702.0,1039953,B/Q/N,Pacific,41.81,42.76,20.77,0.002579,0.1283865713162037,-0.08980210924752469,-0.5219116857420266,0.022721836881128814,0.07377370850094556
AIG,20201202,565258.0,73426.0,5175374,B/Q/N,NYSE,39.06,39.73,20.77,0.010684,0.10922070559538306,0.017557064929265884,-0.1713923509110343,0.017153097798258948,0.0060072192805792615
AIV,20201202,521716.0,300.0,5310411,B/Q/N,NYSE,42.76,40.6,20.77,0.035714,0.098243996556952,0.0034453327815879287,2.195200830808257,-0.05051449953227308,0.035672436222099875
AKAM,20201202,114339.0,728.0,1083871,B/Q/N,NASDAQ,103.4,103.46,20.77,-0.007197,0.10549133614609119,-0.005734095079430485,-0.38726686234250207,0.000580270793036635,0.00665793014420164
ALB,20201202,332047.0,519.0,1576129,B/Q/N,NYSE,134.82,135.25,20.77,-0.004636,0.21067247668179445,-0.012258340899018338,-0.0837247725195739,0.003189437768877072,0.014805284223490657
ALK,20201202,212060.0,29.0,1823653,B/Q/N,NYSE,50.19,51.29,20.77,0.006871,0.11628308674950771,-0.07593089248711773,0.2750080926682174,0.021916716477385963,0.014746864680132933
ALL,20201202,175952.0,21.0,1710390,B/Q/N,NYSE,104.06,103.68,20.77,-0.005849,0.10287244429633008,-0.002260929287157362,-0.25601446917644355,-0.0036517393811262297,0.005625024184555334
ALLY,20201202,477210.0,1732.0,5015120,B/Q/N,NYSE,30.89,31.05,20.77,0.000322,0.0951542535373032,0.026340317436051044,-0.2753120996429968,0.005179669796050506,0.013414531381152995
ALT,20201202,995508.0,40247.0,3652939,B/Q/N,NASDAQ,12.78,11.85,20.77,-0.142547,0.27252248121307254,-0.03475763110192387,-0.5551268317681526,-0.07276995305164317,0.11045740349103234
AM,20201202,1043878.0,10234.0,5154199,B/Q/N,NYSE,6.71,6.97,20.77,0.038748,0.20252962681495223,-0.027529326202026555,0.221431768938867,0.03874813710879282,0.010813632494136517
AMAT,20201202,439492.0,6709.0,5272560,B/Q/N,NASDAQ,83.69,85.29,20.77,0.012103999999999998,0.0833545753865295,0.005179502268331124,-0.2514899758293283,0.01911817421436263,0.005773195562026396
