Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,Open,Close,Previous day's close change,Short Interest Ratio,Previous short interest % change,Previous volume delta,Previous close % change,Total Volume/Shares Outstanding
AA,20201120,363705.0,1243.0,4749801,B/Q/N,18.89,18.82,-0.005810999999999999,0.07657268167655866,-0.022836344025867664,-0.054687711460292034,-0.003705664372683975,0.02554623555177496
AAL,20201120,10580195.0,14946.0,58685528,B/Q/N,12.8,12.53,-0.020328,0.18028627091844518,-0.026159968583316012,-0.00210612632119212,-0.021093750000000105,0.10726031728915647
AAPL,20201120,17339310.0,149981.0,73604287,B/Q/N,118.64,117.34,-0.010958,0.23557472949911193,-0.00489348435149442,-0.006863643249929311,-0.010957518543492896,0.004329205045441654
ABBV,20201120,1370008.0,8566.0,9684787,B/Q/N,99.95,100.84,0.011739,0.1414597966893851,0.020248257433175806,0.2827029562814491,0.008904452226113063,0.005485658481742412
AG,20201120,765143.0,7663.0,4193826,B/Q/N,10.35,10.27,0.011822999999999998,0.18244509905751932,0.000645098670680383,-0.18883234592687584,-0.007729468599033823,0.018956200712765544
AGG,20201120,2405892.0,0.0,7217433,B/Q/N,118.19,118.29,0.001015,0.3333445561600641,-0.002077157638110505,0.08032870437935719,0.0008460952703275111,0.010428309492847855
AGNC,20201120,892757.0,1466.0,4404236,B/Q/N,15.1,15.21,0.007952,0.2027041693496897,-0.011143551627278037,-0.18799835912185364,0.00728476821192061,0.008078031080811494
AIG,20201120,687416.0,3108.0,5572862,B/Q/N,38.65,38.61,0.0018160000000000001,0.12335062307302783,0.04280200532685169,0.318946605835365,-0.0010349288486416338,0.006468596096515441
AMAT,20201120,988910.0,7226.0,7609745,B/Q/N,77.2,76.725,-0.006796,0.12995310618161318,-0.00958668216957076,-0.15353988467957075,-0.006152849740932753,0.008332298932995082
AMD,20201120,5775845.0,50169.0,35008427,B/Q/N,85.28,84.64,-0.010521,0.16498441932281047,-0.062330359751391035,-0.30146267040133223,-0.007504690431519707,0.029107914061774466
AMZN,20201120,598667.0,7309.0,3380138,B/Q/N,3117.02,3099.3999,-0.005653,0.17711318295288536,0.001661811481223352,0.12286871277327283,-0.00565286716158385,0.006736681675148138
