Date,Symbol,ShortVolume,ShortExemptVolume,TotalVolume,Market
20200918,AESR,15520,0,22091,Q
20200918,AEY,13755,0,23605,Q/N
20200918,AEYE,25824,0,50136,Q/N
20200918,AEZS,404995,0,875442,B/Q/N
20200918,AFB,13190,0,24696,Q/N
20200918,AFC,699,0,1282,Q/N
20200918,AFG,67077,0,97559,Q/N
20200918,AFGB,3222,1200,5272,Q/N
20200918,AFGC,259,0,616,Q/N
20200918,AFGD,2163,0,2510,Q/N
20200918,AFGE,5040,0,5040,Q
20200918,AFGH,3422,0,8776,Q/N
20200918,AFI,69121,1365,195167,B/Q/N
20200918,AFIB,70581,0,284316,Q/N
20200918,AFIF,51142,0,89242,Q
20200918,AFIN,161381,361,224852,Q/N
20200918,AFINP,1026,0,4482,B/Q/N
20200918,AFK,420,0,2204,B/Q/N
20200918,AFL,615123,471,972364,B/Q/N
20200918,AFLG,171,0,173,Q
20200918,AFMD,189582,1151,351628,B/Q/N
20200918,AFT,13858,700,21348,Q/N
20200918,AFTY,254,0,1958,Q/N
20200918,AFYA,23437,0,48265,Q/N
20200918,AG,767576,12213,2028808,B/Q/N
20200918,AGBA,100,0,200,Q
20200918,AGBAW,760,0,1160,Q
20200918,AGCO,31175,32,70731,Q/N
20200918,AGD,2957,0,6351,B/Q/N
20200918,AGE,21536,25,63369,Q/N
20200918,AGEN,1272119,14840,2418740,B/Q/N
20200918,AGFS,2331,0,28505,Q/N
20200918,AGG,760630,0,2225348,B/Q/N
20200918,AGGY,41404,0,72583,Q/N
20200918,AGI,272332,200,593239,B/Q/N
20200918,AGIO,57886,0,99639,Q/N
20200918,AGLE,26765,0,55102,Q/N
20200918,AGM,14003,0,21534,Q/N
20200918,AGMH,1766,0,3099,Q/N
20200918,AGMpD,38,0,1663,Q
20200918,AGMpE,283,0,283,Q
20200918,AGMpF,5935,0,20233,Q
20200918,AGNC,1162828,3099,1877718,B/Q/N
20200918,AGNCM,3344,0,6302,Q/N
20200918,AGNCN,13288,0,30237,Q/N
20200918,AGNCO,9129,0,15669,B/Q/N
20200918,AGNCP,45824,0,46698,Q/N
20200918,AGO,56459,0,93566,B/Q/N
20200918,AGOpB,615,0,2848,Q/N
20200918,AGOpE,2814,0,3671,Q/N
20200918,AGQ,126681,2310,265271,B/Q/N
20200918,AGR,76960,0,100546,B/Q/N
20200918,AGRO,33147,0,171330,Q/N
20200918,AGRX,283878,1954,571444,B/Q/N
20200918,AGS,28556,0,71491,Q/N
